time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
2.743553,-0.082453,6.12324,-11.228459,-6.823419,10.619861,-14.694788
2.776912,-3.345717,6.00173,-10.188889,-6.42058,10.379085,-11.695494
2.81022,-6.614817,8.403948,-14.754346,-4.122813,9.167127,-8.247421
2.843568,-3.474859,6.0981,-7.307664,-6.736626,13.591321,-6.890758
2.876899,-2.035743,8.26059,-8.804542,-3.153127,14.731899,-0.669203
2.910312,-4.823441,10.590381,-9.300459,-3.811256,18.996873,2.521783
2.94365,-4.325579,14.227453,-11.99074,-11.440652,3.992623,-9.899779
2.976899,-5.89698,14.113275,-2.534353,-2.061481,-18.854712,-5.25142
3.010348,-3.771152,17.609383,6.051411,2.689682,14.198272,-26.363496
3.043545,5.812581,6.852749,-0.030976,-11.685019,0.516418,-11.113383
3.077029,1.405297,15.512287,-28.074813,-4.036469,3.59607,-9.822862
3.110213,-0.080209,3.484137,-15.10032,0.566249,3.608789,-10.879042
3.143551,-2.302706,5.236156,-10.749451,-4.141369,1.591153,-9.912349
3.176952,-0.490979,5.097587,-11.819099,-3.772648,2.315575,-8.98576
3.210191,0.692996,0.509085,-9.582835,-3.192483,2.09979,-9.109065
3.243644,0.563705,2.984629,-10.075759,-3.444332,2.136901,-8.950594
3.276489,1.758005,4.467291,-10.613576,-3.241117,2.014942,-8.866195
3.310298,0.897708,3.694235,-9.785152,-3.451066,2.068963,-8.912884
3.34366,0.854461,3.839389,-9.657357,-3.528132,2.404613,-8.858264
3.37688,1.084462,4.066697,-9.864164,-3.190238,2.553208,-8.997881
3.410306,1.113792,3.348411,-9.073301,-2.968916,2.791589,-9.137049
3.443549,0.848625,3.34467,-9.308988,-3.031616,2.545277,-8.944159
3.476888,0.998867,3.636324,-9.462672,-2.944674,2.960536,-8.881459
3.510282,0.776946,3.251442,-9.101284,-2.913548,2.773782,-8.945805
3.543645,1.077729,3.145644,-9.355677,-3.011415,2.771387,-8.931739
3.5766,1.030591,3.252489,-9.508911,-2.651972,2.753281,-9.317967
3.610388,0.849373,3.237525,-9.231773,-2.630424,2.676364,-9.50113
3.643572,0.645859,3.054661,-9.12388,-2.670977,1.614947,-9.363758
3.67696,0.776946,3.073068,-9.464916,-3.842681,1.98666,-9.96622
3.710202,1.006648,3.23124,-9.311682,-2.863418,2.918486,-12.593352
3.743573,0.827974,4.918015,-10.985289,-6.532214,1.343494,-15.185916
3.77645,0.578669,4.795159,-9.03574,-1.837466,1.544914,-11.949139
3.810256,2.159647,-0.285668,-7.66561,-19.911939,15.614493,-44.456226
3.843572,-1.912138,3.698126,-7.630892,-12.92092,-0.531382,-6.480437
3.876866,0.953674,5.755268,-12.746736,-0.779789,-6.895248,-1.170357
3.910211,7.006283,16.796224,-32.658526,0.15488,-0.685065,-7.596475
3.943569,2.564581,-4.476868,-6.248341,-1.934285,-1.028496,-9.907111
3.976966,3.346316,-4.706121,-6.833146,-1.196695,-0.577771,-6.80636
4.010211,0.549339,1.324789,-12.10357,-1.100474,1.434926,-8.651008
4.043566,-1.168113,1.146864,-8.947451,-3.169438,2.593013,-9.025116
4.076897,-2.373636,3.076509,-9.190172,-3.781328,5.548012,-14.187947
4.110216,-2.384261,4.214394,-10.426522,-5.702593,8.564664,-15.043605
4.14305,-1.86096,4.864593,-8.305932,-6.617211,9.347596,-11.710309
4.176898,0.931228,5.848795,-11.644316,-7.534672,15.323438,-12.592304
4.210212,-2.399225,9.608723,-14.439497,-7.215783,14.615627,-12.38894
4.243566,-3.727007,8.442406,-6.719567,-4.647461,19.673857,-1.070546
4.276879,-1.115588,11.983258,-10.202207,-4.640128,28.052665,3.129333
4.310295,-0.448779,14.351208,-11.959913,-4.60182,10.06274,2.650476
4.343546,-0.918059,11.100215,-3.930073,-7.195132,28.312146,-20.648781
4.376964,-2.927166,11.649404,-2.424515,0.140215,3.455854,-11.587452
4.410218,-6.721961,21.022589,1.438368,-5.365298,5.107314,-11.960213
4.443533,0.51118,18.902448,26.137535,-3.554918,1.896874,-9.226535
4.476866,6.066226,9.724697,-56.104882,-2.688934,1.284685,-9.082579
4.510232,-5.050749,-0.572983,-8.765485,-3.083543,1.967356,-8.980522
4.543521,-0.334452,2.092906,-7.659624,-3.937256,2.341014,-9.698808
4.576985,2.515498,6.42492,-12.482766,-2.85399,2.079887,-9.243445
4.610209,-0.570589,0.715293,-8.061565,-3.753195,2.456239,-8.750072
4.643627,1.184424,3.119307,-10.855099,-3.315489,2.074799,-8.980971
4.676968,1.793022,3.828166,-9.666934,-3.505985,3.196972,-8.917971
4.710201,1.138633,4.045896,-10.494909,-3.245157,2.764354,-8.939819
4.744209,1.074436,3.114968,-9.057289,-3.341377,2.884517,-8.818608
4.77694,1.169909,3.724613,-9.836181,-3.203706,2.893197,-8.777307
4.810232,0.928534,3.582452,-9.20783,-3.263413,2.920731,-8.783143
4.843782,0.830967,3.616122,-9.155305,-3.194578,2.757022,-8.708022
4.876871,0.705267,3.499251,-9.058785,-3.045683,2.930757,-8.973639
4.910229,0.710355,3.540702,-9.233868,-2.99241,2.685343,-9.179697
4.943533,0.663666,3.72581,-9.110861,-2.84172,1.975287,-9.070458
4.976876,0.705866,3.562999,-9.158298,-4.42584,6.447217,-10.609835
5.01023,0.694493,3.662511,-9.045617,-4.077022,2.931805,-13.480286
5.04337,0.034268,4.609152,-8.419361,-7.14575,1.238595,-15.854521
5.076877,0.623263,4.302684,-8.920815,-2.515199,-0.205909,-10.074262
