time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.01545,0.156826,3.320577,-9.193314,-0.218329,3.527084,-9.194063
0.043963,0.413015,3.402731,-9.148571,-0.17598,3.366667,-9.275917
0.076963,0.256638,3.487878,-9.298214,-0.069883,3.456602,-9.183288
0.110801,0.257685,3.48698,-9.223991,-0.231797,3.335092,-9.238806
0.144608,0.351362,3.371007,-9.163236,-0.130938,3.531424,-9.289236
0.176875,0.353606,3.462887,-9.16159,-0.162512,3.47875,-9.256464
0.210774,0.275343,3.302021,-9.102631,-0.092479,3.418294,-9.288338
0.244084,0.261726,3.448073,-9.134505,-0.129591,3.410662,-9.282352
0.276596,0.221023,3.349458,-9.135103,-0.073924,3.31519,-9.257062
0.310693,0.170892,3.337337,-9.204987,-0.130938,3.500897,-9.238058
0.343668,0.350913,3.496707,-9.19526,-0.066591,3.40737,-9.256464
0.376921,0.22192,3.392256,-9.229678,-0.123455,3.396296,-9.254967
0.410748,0.276091,3.391657,-9.148122,-0.193638,3.502094,-9.291929
0.444011,0.22207,3.350057,-9.129567,-0.401791,3.238124,-9.240302
0.477302,0.28911,3.345118,-9.152911,-0.228505,3.433258,-9.225488
0.510395,0.271303,3.415151,-9.172215,-0.098615,3.576466,-9.318715
0.543673,0.291355,3.57063,-9.240302,0.09637,3.337337,-9.322157
0.578172,0.38982,3.383128,-9.131213,-0.023344,3.525438,-9.264395
0.609803,0.421245,3.277181,-9.14049,-0.669951,3.201611,-9.086619
0.643383,0.156377,3.266556,-9.21621,-0.286566,3.330004,-9.305098
0.677805,0.380093,3.338085,-9.200198,-0.038458,3.311,-9.239105
0.70994,0.363483,3.535464,-9.101733,-0.402839,3.223908,-9.285195
0.743891,0.350164,3.559407,-9.129866,0.127945,4.036918,-9.42167
0.777688,0.017209,3.34467,-9.156652,-0.100859,3.529927,-9.306295
0.809941,0.478708,3.444182,-9.053997,-0.368271,3.652934,-9.322307
0.844354,0.399547,3.710098,-9.051603,-0.031126,3.589336,-9.296718
0.876417,0.173436,3.392555,-9.103379,-0.267861,3.431313,-9.247485
0.90994,0.440848,3.425327,-9.071954,0.026188,3.631984,-9.342808
0.944202,0.238232,3.487728,-9.096944,-0.039805,3.291696,-9.226236
0.976999,0.437556,3.252789,-9.184186,-0.146052,3.329256,-9.197504
1.009825,0.270106,3.386719,-9.235065,-0.251101,3.299328,-9.183737
1.043283,0.288961,3.555067,-9.150367,-0.294497,3.089379,-9.234317
1.076088,0.433216,3.57916,-9.256314,-0.24317,3.365769,-9.302105
1.110229,0.392663,3.563896,-9.22459,-0.288212,3.698276,-9.279808
1.144127,0.646009,3.593526,-9.125676,0.209051,3.591281,-9.315872
1.177567,0.541707,3.38238,-9.037686,-0.613386,3.203107,-9.256613
1.209793,0.741481,3.585295,-9.098441,-0.038608,3.685406,-9.373185
1.242809,0.19708,3.425327,-9.211421,-0.33116,3.200863,-9.083327
1.276187,0.421544,3.345717,-9.088115,-0.370815,3.238573,-9.00237
1.310655,0.088289,3.618366,-9.107868,0.169994,3.422933,-9.461175
1.34375,0.078712,3.315938,-9.083925,-0.248258,3.517657,-9.366302
1.376946,0.272201,3.710247,-9.407154,-0.73355,3.34886,-9.171766
1.410674,0.580166,3.014856,-8.937874,0.187054,3.155072,-9.00252
1.443757,0.545299,3.513467,-9.110263,-0.291953,3.073217,-9.826154
1.477181,-0.282526,3.323271,-9.483472,-0.628351,3.791952,-8.807834
1.510918,0.428577,3.153875,-8.761744,-0.344927,3.697228,-9.891698
1.543333,1.161379,3.192183,-9.290732,0.272649,4.194342,-9.235065
1.577556,0.675488,4.268565,-9.242846,0.043845,4.656589,-9.646284
1.610591,0.305721,4.175786,-9.066268,-0.015713,3.651737,-9.384708
1.643985,0.68327,4.184915,-8.636942,0.176728,4.261981,-8.948948
1.676908,0.82962,4.157829,-8.417865,0.025888,4.663473,-8.862005
1.710697,1.226025,4.897814,-7.98794,0.577023,4.941809,-9.582985
1.743765,1.387489,4.648808,-7.695987,1.080422,3.152827,-8.673754
1.777071,-1.083415,4.686219,-8.743188,0.843088,3.785967,-12.039673
1.810779,0.262474,2.345204,-8.475477,-0.408076,-0.216084,-7.222517
1.843991,1.494933,2.086921,-12.641088,-0.755248,6.46697,-7.881844
1.87699,-0.597973,4.462203,-12.447899,2.528218,1.73496,-7.644061
1.910389,0.283573,2.919833,-8.862753,-1.700842,3.877847,-9.649127
1.943723,0.402988,3.606844,-8.953437,0.745222,3.318482,-9.247036
1.977447,1.689619,3.584248,-9.629224,0.15922,3.477104,-9.17835
2.010461,-0.69569,3.447624,-9.560987,0.096969,3.928127,-9.431995
2.044092,0.186455,3.203706,-8.711763,0.653042,4.528644,-9.066717
2.077467,0.647056,5.012291,-7.937212,0.354654,5.33507,-8.832525
2.110335,2.118944,5.089357,-7.169543,0.154132,4.609152,-7.499356
2.144039,1.0059,4.876864,-7.567743,-2.763307,2.563384,-9.231473
2.177445,0.639574,1.216747,-8.716851,0.759737,2.239407,-8.157486
2.210282,-0.221472,4.843643,-10.022486,-0.078862,2.758668,-9.836779
2.244458,1.50885,0.677434,-10.537856,1.256552,1.437919,-8.821901
2.276831,0.104301,4.808028,-9.974301,2.587327,5.38954,-8.753364
2.310563,-0.933323,4.533283,-10.122298,2.61082,3.662511,-9.586277
2.344331,-1.188315,3.8557,-9.429301,-4.910384,2.981037,-8.874874
2.376951,2.9336,0.742079,-7.843385,-3.283914,0.595878,-5.614005
2.410131,3.286309,0.114926,-7.630144,1.068151,3.06349,-9.44262
2.443981,0.062551,2.646436,-9.884066,0.414062,3.674483,-9.997196
2.476603,0.152935,2.066569,-9.215911,1.146115,4.932531,-11.196585
2.510961,-0.445487,3.412009,-9.50547,-0.623712,3.128585,-9.097244
2.543486,0.259331,2.708837,-9.412092,-0.257536,2.953054,-8.561672
2.577026,0.333554,2.245542,-9.097842,-0.562657,3.384026,-10.059597
2.610762,0.321583,1.983218,-8.735856,-0.001646,4.109944,-9.45489
2.643858,-0.550237,4.538521,-9.197654,-0.454166,3.812753,-9.012995
2.677189,1.122771,3.452712,-9.004016,-0.43576,3.575718,-9.242098
2.710629,0.058211,3.198019,-9.103678,-0.216234,3.475457,-9.156502
2.74221,0.62446,3.372353,-9.097543,-0.447432,3.435503,-9.33757
2.778618,0.306319,3.262665,-9.228032,-0.220723,3.593975,-9.401468
2.809938,0.106246,3.28586,-9.233419,-0.378746,3.524391,-9.014641
2.843934,-0.059558,3.09312,-9.322756,-0.437556,3.506434,-9.529263
2.877647,0.247809,3.124694,-9.238656,-0.161764,3.817541,-10.608787
2.910276,0.396105,3.375496,-9.250628,-1.264483,4.040958,-9.235813
2.944162,0.235239,3.156718,-9.253621,-1.269571,2.592414,-8.839708
2.977137,0.254842,3.218969,-9.343107,0.09637,3.760228,-9.733525
3.010283,0.262474,3.166744,-9.24539,0.29345,2.659305,-8.961817
3.044934,0.521057,3.108982,-9.49275,-0.423041,3.438196,-9.607526
3.077096,1.158536,2.221898,-10.123645,-0.205609,2.826606,-9.189424
3.11055,1.24069,-2.858629,-11.623067,-0.10041,2.941681,-9.197654
3.144187,2.548419,-5.505214,-12.876626,-0.407627,2.259608,-8.118878
3.176952,8.250564,-3.361878,-14.84892,-0.293899,4.11982,-13.069366
3.210828,6.304906,-4.418507,-10.885178,-0.405532,3.159711,-9.503375
3.244404,3.310551,-2.341164,-9.971757,-1.01832,3.16854,-9.017185
3.276958,2.656312,-0.145902,-10.623901,-0.920753,3.688848,-9.537643
3.310348,0.047287,2.303304,-11.209753,-0.7964,3.354546,-9.36286
3.344136,-0.887532,2.180597,-9.370641,-0.780837,3.413954,-9.320511
3.376934,-0.860297,1.492539,-7.163408,-0.864787,3.338085,-9.360615
3.410576,-0.130489,4.662575,-8.207018,-0.500705,3.664606,-9.560239
3.444118,1.102869,7.588244,-7.988689,-0.435461,3.647248,-9.368995
3.47774,0.728013,10.79195,-7.660522,-0.368421,3.493564,-9.122234
3.509419,0.947988,14.224161,-4.641176,-0.49891,3.789408,-9.723799
3.54393,-5.102824,19.323843,12.967908,-0.491427,2.513403,-8.979325
3.579298,8.437169,20.991164,-53.29339,-0.43187,1.798858,-9.943923
3.610099,1.501517,-15.651605,-7.412114,-1.893582,3.608789,-12.584224
3.644533,1.398862,6.421478,-8.524111,-0.260229,7.629845,-10.436548
3.675994,-0.807473,2.941681,-9.207979,-1.114391,4.251057,-22.429383
3.712175,0.078712,2.315276,-9.460128,-7.172835,9.644787,-40.329822
3.74311,0.449677,3.504488,-9.453544,-2.861622,-2.880627,-14.405378
3.776413,1.113493,3.43251,-9.025714,-4.124609,-2.563084,-8.769376
3.809942,0.990187,3.380584,-9.113854,-4.276047,0.547394,-11.865339
3.843499,0.285968,3.218072,-9.244193,-3.219867,2.149022,-12.919873
3.877174,0.181966,2.903372,-9.064921,-1.911689,3.882037,-10.505234
3.910553,0.261426,3.174077,-9.015688,0.751657,6.326006,-12.403305
3.943986,0.597075,3.765017,-9.18673,1.642631,7.251099,-11.015217
3.976604,0.776797,3.730748,-9.094101,5.728182,0.523152,-11.631597
4.011085,0.229253,3.300525,-9.167426,16.155752,30.374076,-16.758214
4.044064,0.076318,3.498652,-9.225937,10.220613,34.994751,20.151518
4.077094,0.326671,3.937705,-9.912947,-5.316515,54.78533,-12.643333
4.111104,0.781286,3.639466,-10.496705,-7.037558,-15.502111,3.587091
4.143619,0.763329,-0.088888,-12.783997,4.394564,0.407927,-10.358883
4.176602,3.664008,-2.64449,-13.127727,1.081619,12.219993,-17.629735
4.210613,-3.591131,7.85416,-14.66456,-0.947838,3.606994,-7.686709
4.243594,3.766812,-0.475116,-19.261591,-0.655735,3.747808,-8.296804
4.277077,21.544095,7.813008,-29.388229,-0.587648,3.316836,-9.230725
4.310593,10.096559,-7.440247,-12.221489,-0.809419,3.552075,-9.360166
4.343393,4.730812,-5.937383,-10.349157,-0.435162,3.16854,-9.267238
4.376718,2.402966,-1.765936,-7.968786,-0.510731,3.645003,-8.990698
4.410105,1.717602,1.007097,-10.956707,-0.672795,3.592628,-9.226685
4.444089,2.143785,5.163879,-15.743336,-0.298687,4.458761,-9.370043
4.477545,0.530634,5.395376,-14.186151,-0.490829,3.894757,-9.33772
4.510037,2.973106,3.035956,-8.553292,-0.750609,3.716832,-9.11984
4.544282,-2.995852,37.402955,-11.832268,-0.638227,3.590683,-8.785986
4.576861,-0.724571,38.969867,-1.053486,-0.37321,2.409401,-9.083925
4.610718,-14.004934,44.273213,36.357101,-0.956218,5.206826,-11.768221
4.643462,-9.979538,42.684902,-18.070433,-1.845247,4.995381,-10.768755
4.676504,-2.523579,-8.227968,-16.54647,-1.443905,3.775791,-12.745539
4.71011,0.438903,9.379021,-12.192907,-3.253836,20.327498,-51.872381
4.743707,0.189149,3.186647,-9.028258,-7.317839,10.9594,-32.847674
4.77678,1.649365,3.501645,-8.606116,-5.548312,-12.113746,-7.486487
4.80992,0.119565,3.54983,-9.144531,-4.999421,-0.913271,-10.501343
4.844738,0.41077,3.452113,-9.17431,-2.574008,3.513467,-13.793039
4.876801,0.185408,3.377142,-9.171616,1.138783,4.914125,-12.13739
4.910027,0.479007,3.205202,-9.230127,3.459745,7.024689,-12.785793
4.943608,0.39805,3.372503,-9.083776,2.69073,10.968529,-11.195986
4.977029,0.302877,3.335691,-9.230127,2.821667,2.431099,-21.346566
5.010001,0.476613,3.471417,-9.187628,9.260504,21.691044,-10.897299
5.043344,0.338941,3.783123,-9.419874,5.512697,31.05151,-4.712556
5.076719,0.502501,4.129397,-9.783806,-1.063063,30.575945,14.202014
5.109797,1.214053,4.053827,-9.954698,7.096517,45.148624,41.82685
5.143317,0.355552,1.237398,-12.288978,-10.844475,29.864243,-0.620569
5.176943,3.775641,0.752105,-13.822968,17.161801,13.694425,-12.984219
5.210515,-2.550814,3.871113,-9.842017,-3.492816,3.581554,-6.782118
5.243488,8.268371,3.874705,-13.068468,-1.448095,5.327139,-9.92866
5.277522,2.988819,13.949117,-31.004522,-0.684168,3.608939,-8.907347
5.30991,19.166568,5.626276,-21.258576,-0.798944,4.636387,-10.897598
5.343438,8.435971,-1.781499,-9.142436,-1.126512,3.948628,-9.352235
5.377258,4.860403,-1.224678,-4.739192,-0.858502,3.527832,-9.136151
5.410152,5.70828,-0.681175,-6.03495,-0.634336,4.016716,-9.091857
5.443727,4.955127,5.07948,-11.779743,-0.841742,3.663259,-8.699193
5.477258,1.780751,7.334749,-13.948219,-1.114541,3.873957,-9.097393
5.510013,1.535786,6.966927,-11.958566,-0.854012,3.841035,-8.658939
5.543632,-0.580465,5.781006,-11.964253,-0.487686,3.783123,-9.50966
5.577601,5.258453,34.584131,-23.535094,-0.466736,4.177133,-9.092006
5.609337,-6.830901,27.456039,-2.993009,-0.835307,4.160523,-9.665438
5.643648,-1.191457,28.72965,5.428448,-0.874513,2.662298,-9.092006
5.676775,-12.005854,31.217464,35.81674,0.687759,2.006712,-9.698659
5.710881,10.154321,32.7112,-53.909021,-0.881098,2.845461,-11.337698
5.743506,1.588759,-2.861323,-9.261402,2.655713,6.065328,-15.679588
5.776314,-1.170806,2.588224,-17.202205,0.388024,3.355893,-12.968956
5.809843,0.717987,4.282631,-7.993477,-4.098421,18.167851,-45.509712
5.843533,1.068451,4.276646,-7.890972,-2.43918,6.372695,-18.7549
5.876855,0.901,3.310701,-8.697697,-6.829854,-3.50808,-9.776623
5.911604,1.207619,3.347812,-8.847639,-10.810356,-0.499059,-6.52114
5.943952,0.99752,3.342575,-9.056092,-6.141347,5.406001,-14.504292
5.976589,1.259395,3.51197,-9.068213,-4.042754,6.847661,-7.974772
6.009441,1.053486,3.519901,-9.059234,-0.173735,10.194276,-15.212403
6.043947,1.30354,3.584248,-8.949247,-2.863119,10.853004,-8.805889
6.076671,1.215699,3.618516,-8.923957,-1.797661,6.138803,-14.259327
6.109589,0.965945,3.615972,-9.372736,11.625611,26.473034,-16.03095
6.14334,2.315126,5.32684,-9.95784,2.984928,25.989239,0.286566
6.176471,1.821604,4.024647,-9.852492,-4.901255,31.817083,4.277544
6.209484,0.407927,3.03027,-9.616056,-5.436678,32.044541,30.764644
6.243575,-0.195583,2.114305,-10.470966,-4.997625,13.212275,-65.010882
6.276356,1.425199,0.144705,-11.318394,21.219669,-1.241438,-24.350649
6.310555,-3.699174,1.200585,-14.856851,-4.491832,4.84499,-10.098954
6.343566,0.910128,-0.345226,-12.902813,-0.718885,2.08722,-7.210695
6.377453,-6.081489,4.639231,-26.030989,-2.116999,3.723715,-12.006452
6.409953,8.322392,15.782692,-19.459419,-1.000363,2.859976,-8.691412
6.443568,18.378548,3.04673,-14.70212,-0.684317,3.205352,-9.166229
6.477079,19.237499,1.78973,-3.740176,-0.617576,3.367266,-10.047476
6.509817,7.289856,-1.577835,-2.467911,-1.449891,3.179763,-9.229678
6.543629,-2.240305,3.548633,-11.871474,-1.270469,3.867223,-9.32111
6.576952,-0.181667,9.451748,-14.832609,-1.343943,3.334494,-9.034394
6.610061,-1.539826,5.971053,-12.358712,-1.145816,2.996899,-9.113106
6.643625,4.763584,5.298557,-17.224352,-0.640023,3.722817,-9.872693
6.676567,-2.001025,32.257632,-20.320764,-1.199388,3.301273,-8.931589
6.709934,-4.739641,28.625648,-7.721576,-1.03523,4.317498,-9.744749
6.743798,-5.540979,31.170177,1.596092,-1.710269,4.333959,-9.517142
6.776587,-7.452668,26.655599,15.881456,-0.131387,1.060669,-8.245326
