time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.007599,0.114327,3.463935,-9.0528,-0.296293,3.379536,-9.304499
0.020411,-0.290607,3.387467,-8.986209,0.1468,3.561951,-9.265592
0.054079,0.600517,3.448372,-9.135253,-0.425136,3.379087,-9.395781
0.087375,0.208153,3.331501,-8.912734,0.099961,3.424728,-9.255267
0.12051,0.056116,3.206399,-9.32949,0.048035,3.455405,-9.30435
0.155136,0.402689,3.528132,-9.250029,-0.12136,3.322373,-9.197654
0.187301,0.244966,3.44942,-9.243744,0.086344,3.473662,-9.308839
0.220209,0.306169,3.415151,-9.198103,-0.034268,3.458548,-9.272326
0.255055,0.204562,3.314741,-9.118493,-0.033819,3.39495,-9.289236
0.287187,0.270554,3.26057,-9.208877,0.154132,3.41141,-9.255865
0.32118,0.183013,3.125443,-9.166379,0.086344,3.37789,-9.265592
0.354576,0.478708,3.548483,-9.282951,-0.057014,3.408567,-9.31258
0.387525,0.18436,3.164799,-9.208728,0.072577,3.283615,-9.265143
0.420707,0.248856,3.450317,-9.240452,-0.153683,3.331501,-9.240751
0.454333,0.793706,3.4578,-9.173262,-0.084848,3.205801,-9.173711
0.487606,0.256638,3.142053,-9.223542,-0.130938,3.423531,-9.31273
0.520826,0.887682,3.155371,-9.217557,0.021998,3.495659,-9.331136
0.554433,0.208602,3.392256,-9.27891,0.054021,3.277031,-9.225188
0.588109,0.873316,3.127388,-9.080035,0.240027,3.33195,-9.264694
0.620931,0.699581,3.280622,-9.087517,0.040254,3.315788,-9.157699
0.654265,0.366625,3.115267,-9.063125,-0.612189,3.103744,-9.057738
0.688137,-0.119565,3.388665,-9.289535,0.238082,3.687651,-9.437382
0.720068,0.244367,3.142053,-9.197504,-0.203215,3.422185,-9.276965
0.754666,0.49472,3.471118,-9.222495,0.024841,3.271793,-9.288188
0.787802,0.439801,3.516909,-9.125526,0.051028,3.463187,-9.270081
0.820293,0.209051,3.341377,-9.049657,0.055368,3.589036,-9.357772
0.855221,0.404186,3.489674,-9.12792,-0.184809,3.254584,-9.214564
0.88778,0.287015,3.376543,-8.982916,0.045791,3.453759,-9.312131
0.920361,0.312006,3.405425,-8.972142,-0.074821,3.548184,-9.331585
0.956102,0.535871,3.246354,-9.056541,-0.27654,3.29843,-9.233868
0.988697,0.227757,3.454657,-9.235514,-0.12166,3.435802,-9.274271
1.020335,0.274296,3.44523,-9.204388,-0.370067,3.360382,-9.219502
1.054555,0.298837,3.444781,-9.253621,0.267861,3.591131,-9.292528
1.087186,0.458057,3.492666,-9.177003,-0.063299,3.380584,-9.238058
1.120881,0.210248,3.437747,-9.167875,-0.210847,3.47456,-9.240602
1.154695,0.51133,3.477104,-9.06088,-0.05462,3.502692,-9.286991
1.187292,0.064496,3.396895,-9.23716,-0.244666,3.453909,-9.289834
1.220808,0.117619,3.419042,-9.111759,-0.256638,3.422185,-9.227732
1.254704,0.227158,3.475457,-9.09455,0.081705,3.556414,-9.265143
1.287658,0.262474,3.430714,-9.115949,0.056415,3.515262,-9.304649
1.321111,0.270704,3.465282,-9.138994,-0.047287,3.387617,-9.250478
1.354729,0.219227,3.432061,-9.132559,-0.184061,3.39914,-9.215611
1.38766,0.210398,3.413505,-9.173861,-0.035316,3.436999,-9.263796
1.420167,0.191693,3.445678,-9.121785,-0.109838,3.532471,-9.282053
1.454646,0.211894,3.469172,-9.150517,0.045491,3.450168,-9.261252
1.487302,0.323827,3.479049,-9.140939,0.034268,3.361579,-9.288188
1.520003,0.257984,3.464534,-9.145578,-0.057014,3.44493,-9.245689
1.554759,0.299136,3.410363,-9.151115,-0.003591,3.43251,-9.255416
1.589048,0.323229,3.451515,-9.183139,0.013019,3.483089,-9.285644
1.620614,-0.277438,3.434455,-9.242397,-0.061803,3.333297,-9.26634
1.654509,0.084698,3.283166,-9.338618,-0.091881,3.372503,-9.242248
1.687065,0.396554,3.393453,-9.29567,-0.006734,3.387168,-9.268136
1.721207,0.076318,3.435353,-9.205136,-0.032473,3.433557,-9.27472
1.754889,-0.209799,3.367266,-8.956579,-0.061803,3.345268,-9.231024
1.787742,0.43187,3.586343,-9.160393,0.012271,3.463336,-9.274122
1.821167,0.346274,3.547885,-9.32515,0.018705,3.47022,-9.283399
1.854209,0.240177,3.490272,-9.360017,-0.050579,3.433707,-9.263497
1.888334,0.377549,3.395249,-9.074348,0.059558,3.456902,-9.302404
1.92086,0.222669,3.469472,-9.147224,-0.561909,3.310102,-9.243744
1.955183,0.151888,3.367565,-9.234017,-0.036214,3.421586,-9.283699
1.990298,0.492774,3.430116,-9.080783,0.079011,3.43251,-9.269932
2.02003,0.273547,3.353947,-9.037536,-0.013917,3.446427,-9.308839
2.054266,0.100859,3.377142,-9.073002,-0.011672,3.423681,-9.290882
2.088961,0.176279,3.389562,-9.159944,-0.061653,3.392406,-9.261252
2.120911,0.185258,3.400337,-9.135403,-0.021399,3.421736,-9.273972
2.154431,0.220125,3.379985,-9.072852,-0.070781,3.36981,-9.275019
2.187698,0.476313,3.44074,-9.181493,-0.086494,3.434006,-9.278312
2.220425,0.200222,3.454807,-9.16563,-0.218778,3.324767,-9.236861
2.254765,0.260229,3.404078,-9.131063,-0.128394,3.414553,-9.251974
2.288473,0.254543,3.472914,-9.193314,0.095173,3.477253,-9.315722
2.320982,0.244367,3.473961,-9.204538,-0.026487,3.415301,-9.306295
2.355641,0.374407,3.390909,-9.192716,-0.017209,3.354247,-9.281304
