time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.007736,0.714545,3.248299,-9.242697,-1.351425,3.659069,-8.93548
0.037892,0.74178,3.507032,-9.32081,-1.313566,3.494911,-8.910938
0.071031,0.959211,3.452412,-9.259307,-1.311471,3.725062,-8.973339
0.104345,0.965047,3.348111,-9.229827,-1.369832,3.677924,-8.927997
0.13766,0.913271,3.450617,-9.264844,-1.405596,3.672986,-8.932936
0.171015,0.716191,3.47426,-9.281753,-1.310423,3.678224,-8.936078
0.204364,0.906537,3.370258,-9.219053,-1.284086,3.730449,-8.944907
0.237759,0.928086,3.352601,-9.16997,-1.380157,3.72596,-8.929943
0.271027,0.750908,3.431462,-9.206633,-1.363098,3.724164,-8.925154
0.304343,0.752554,3.514514,-9.343107,-1.267625,3.790157,-8.947451
0.337655,1.181431,3.247551,-9.204388,-1.474881,3.410063,-8.875922
0.370989,0.860597,3.36547,-9.254818,-1.575291,3.682414,-8.895824
0.404343,0.984351,3.385971,-9.192417,-1.454081,3.546837,-8.970496
0.43766,0.820492,3.524241,-9.285494,-1.301445,3.946234,-8.971095
0.470986,0.883791,3.360532,-9.223542,-1.245478,3.701718,-8.920815
0.504399,0.983154,3.319978,-9.211122,-1.423853,3.629889,-8.890437
0.537658,0.95577,3.377741,-9.185383,-1.474133,3.738829,-8.93937
0.570976,0.841592,3.425776,-9.24539,-1.308927,3.720872,-8.942513
0.604359,0.887383,3.448971,-9.238656,-1.322095,3.727905,-8.927698
0.63766,0.830668,3.463187,-9.282053,-1.338257,3.72581,-8.916924
0.67099,0.949784,3.433408,-9.242846,-1.280644,3.666402,-8.936078
0.704377,0.939758,3.317734,-9.178051,-1.352473,3.644105,-8.964361
0.73771,0.838449,3.523493,-9.156502,-1.263884,3.67119,-8.94371
0.770962,0.907285,3.376693,-9.214863,-1.407542,3.661913,-8.914979
0.80433,0.873466,3.415151,-9.231174,-1.25745,3.703214,-8.958824
0.83751,0.891273,3.415002,-9.245989,-1.448993,3.693188,-8.901062
0.87102,0.888281,3.514365,-9.223991,-1.463508,3.716981,-8.956879
0.904393,0.8802,3.665953,-9.501579,-1.342447,3.625549,-8.955083
0.937691,0.936316,3.633031,-9.740708,-1.292765,3.546837,-8.941465
0.971018,0.75016,3.362327,-9.397278,-1.389734,3.777287,-8.920366
1.004436,1.445401,3.151032,-9.087218,-1.275108,3.689596,-8.925304
1.037703,1.12322,2.952605,-9.019579,-1.506904,3.594274,-8.925154
1.070072,1.319851,3.505685,-9.338767,-1.396468,3.622706,-8.93937
1.104333,0.761683,3.234981,-9.235514,-1.383299,3.708003,-8.970047
1.137715,1.153897,3.432061,-9.322905,-1.303989,3.698575,-8.951342
1.171018,1.141925,3.454058,-9.212618,-1.37866,3.766214,-8.941316
1.204357,1.080572,3.423531,-9.285046,-1.33287,3.778484,-8.815316
1.237686,1.13983,3.522745,-9.313478,-1.182329,3.846422,-8.908843
1.27102,1.204476,3.297981,-9.085123,-1.351874,3.665205,-8.882207
1.304349,1.179486,3.479199,-9.033496,-1.293364,3.806019,-8.946254
1.337687,1.168861,3.293043,-9.380218,-1.352473,3.703214,-8.91872
1.371068,1.1316,3.398691,-8.949995,-1.443606,3.903885,-8.828934
1.404419,1.151802,3.852707,-9.448755,-1.570054,3.549082,-8.932187
