time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.02105,1.077729,3.114369,-9.202293,-1.58412,2.955448,-9.559191
0.054414,1.087306,3.363674,-9.386803,0.415708,2.957842,-9.478684
0.087704,0.591688,3.235131,-9.304649,-1.081769,3.263713,-9.288936
0.121076,0.953076,3.258475,-9.281304,-0.143059,3.307109,-9.336523
0.154407,1.099427,3.252789,-9.284597,-1.077729,3.207447,-9.257661
0.187706,0.758989,3.307109,-9.30854,0.16341,3.122001,-9.324252
0.221143,0.609945,3.252489,-9.22025,-0.996472,3.081896,-9.110562
0.254438,0.958912,3.23543,-9.227732,-0.193339,3.077108,-9.291181
0.287735,0.786972,3.276432,-9.310784,-0.672346,3.14759,-9.197953
0.321132,0.7542,3.335392,-9.287889,-0.41077,3.165996,-9.252723
0.354441,1.208666,3.184552,-9.225338,-0.537966,3.238423,-9.17431
0.387735,0.713647,3.387617,-9.373485,-0.181367,3.160459,-9.317219
0.421054,0.658279,3.248449,-9.21621,-0.785775,3.214779,-9.169521
0.454439,0.615033,3.40737,-9.410446,-0.373509,3.115716,-9.242397
0.487788,1.054833,3.07606,-9.085123,-0.672196,3.230492,-9.178949
0.520946,0.687759,3.34048,-9.320361,-0.20097,3.284064,-9.180295
0.554455,1.175146,3.207597,-9.293426,-0.504746,3.280024,-9.161291
0.587765,0.681773,3.347812,-9.298813,-0.067339,3.41141,-9.151265
0.621041,0.795352,3.300674,-9.176105,-0.67878,3.224955,-9.162039
0.654409,1.012634,3.360083,-9.272775,-0.463893,3.299028,-9.157999
0.687727,1.168562,3.225853,-9.270381,-0.444739,3.245307,-9.122833
0.721038,0.761982,3.311449,-9.308091,-0.465988,3.213582,-9.271578
0.754458,0.708559,3.011864,-9.012546,-0.509983,3.183504,-9.272625
0.787746,0.54904,3.34452,-9.473296,-0.374107,3.219718,-9.110263
0.821069,1.107807,3.35724,-9.381565,-0.454915,3.41141,-9.050256
0.854386,0.952777,3.375646,-9.369295,0.055817,3.084291,-9.425411
0.887806,0.798944,3.281221,-9.344903,-0.818547,3.256979,-9.161141
0.920855,0.984501,3.338384,-9.17835,-0.421245,3.300674,-9.241948
0.954425,0.51148,3.242763,-9.306145,-0.651096,2.997797,-9.338917
0.987747,1.199987,3.182606,-9.170269,-0.66651,3.018149,-9.191519
1.020803,0.666659,3.268501,-9.359418,-0.103403,3.075761,-9.340413
1.054389,1.025802,3.064239,-9.285345,-0.680576,3.030569,-9.380069
1.087724,0.775599,3.096561,-9.049508,-0.071529,3.293492,-9.446061
1.121054,0.656783,3.246953,-9.339067,-0.913869,3.358287,-9.23716
1.154405,1.084462,3.404676,-9.346698,-0.54919,3.590832,-9.418078
1.187735,0.751208,3.206399,-9.326048,-0.4193,3.882337,-9.490206
1.221054,0.256338,3.264012,-9.365703,-0.794454,3.401534,-10.267003
1.254405,1.243832,3.162255,-9.14064,-1.007995,3.219718,-11.134034
1.287837,0.122558,3.325066,-9.578645,0.080957,1.614647,-12.165972
1.321144,1.262538,3.091773,-9.234017,-1.887895,1.843152,-10.975712
1.354381,0.617576,3.204903,-9.383511,-1.407542,2.755675,-10.668345
1.387776,1.091346,3.237675,-9.345052,-2.359121,2.468959,-10.949823
1.421021,0.611441,3.274936,-9.326197,-2.030056,4.871327,-10.891163
1.454375,0.839347,3.232886,-9.297167,0.52794,0.969986,-8.449888
1.487702,0.685814,3.334045,-9.397427,1.199239,3.555367,-9.160393
1.520617,0.778143,3.237226,-9.323055,-0.94724,2.749689,-8.463805
1.5544,0.919556,3.199965,-9.250628,0.144854,3.048676,-8.257298
1.587707,0.641819,3.143849,-9.335326,-0.213092,2.035892,-8.433876
1.621336,1.019966,3.292294,-9.325748,0.521206,3.511372,-9.886012
1.654394,0.227607,3.302171,-9.492451,1.141925,4.615288,-9.007608
1.687732,0.920005,3.07606,-9.036489,1.458271,3.811256,-7.570586
1.720219,0.722177,3.102398,-9.120438,0.613237,4.55154,-6.47086
1.753629,0.085745,3.300974,-9.526869,-1.03927,8.37357,-7.02409
1.786932,0.411219,3.258475,-9.118194,-2.645987,8.519472,-6.170527
1.820225,1.558232,3.781477,-9.553954,1.901363,9.125077,-4.452177
1.853637,1.034631,3.530227,-9.52627,1.892983,11.606906,-2.693872
1.886941,1.098529,4.300738,-9.881822,2.906216,4.825985,-36.289013
1.92042,1.877121,3.750651,-9.432594,-2.360617,-7.829618,-3.960301
1.954416,0.768865,1.81472,-13.1807,4.260185,10.57407,-6.967675
1.987706,-0.357946,7.363032,-11.908137,-1.7812,0.694942,-9.298813
2.020589,-3.24396,-0.599919,-24.900287,-0.790713,3.029521,-9.411045
2.054409,-0.599919,6.105283,-17.407515,-0.887233,3.647846,-9.436035
2.087709,2.582688,-1.874128,-14.028577,-0.490829,3.202509,-9.167875
2.12104,5.007203,-4.43422,-9.879577,0.395806,2.677412,-9.644039
2.154378,4.098571,-1.964662,-10.180359,-0.799692,2.982234,-9.146925
2.187731,-0.330861,0.952777,-9.122683,-0.940656,2.484372,-9.009254
2.221041,-1.603424,4.427785,-11.354159,-0.920005,3.006776,-9.258858
2.254408,-0.509684,8.039118,-11.356703,-0.526594,2.736371,-9.081082
2.287732,3.477702,8.192053,-10.443581,-0.688507,3.442237,-9.576251
2.321039,4.876115,10.102246,-10.206397,-0.435611,3.051369,-9.237309
