time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.010984,1.484308,3.649043,-9.557845,-1.804544,3.23977,-8.321794
0.035541,0.814058,3.364572,-8.595641,-2.205438,3.429367,-7.917758
0.068856,1.254606,3.463785,-9.487213,-1.956133,3.445978,-8.455724
0.102236,1.283488,3.348261,-9.282651,-2.005664,3.545041,-8.841953
0.135534,1.083415,3.557761,-9.230725,-1.89418,3.462887,-8.963463
0.168843,1.195946,3.508678,-9.196906,-1.940719,3.526336,-8.947301
0.202225,1.14851,3.59577,-9.228481,-1.88999,3.574671,-8.839858
0.234702,1.15255,3.414104,-9.177303,-1.851083,3.520051,-8.938323
0.268894,1.070995,3.561203,-9.283998,-1.956731,3.645003,-8.845095
0.302306,1.224528,3.503141,-9.156652,-1.813673,3.740325,-8.880411
0.335563,1.161828,3.244708,-9.083776,-2.033947,3.556115,-8.862005
0.368903,1.162426,3.347662,-9.183588,-1.874876,3.630488,-8.899715
0.402303,1.209863,3.469472,-9.167725,-1.921715,3.640663,-8.879812
0.435506,1.26164,3.445678,-9.185683,-1.848839,3.557013,-8.877867
0.468853,1.269571,3.256231,-9.096346,-1.844798,3.619564,-8.877119
0.502222,1.292765,3.362776,-9.138395,-2.044871,3.202209,-8.820853
0.535561,1.337808,3.505386,-9.256913,-1.868741,3.480545,-8.868589
0.568933,1.04346,3.620761,-9.097543,-1.86066,3.76337,-8.908993
0.602261,1.186968,3.579459,-9.125077,-2.008508,3.781028,-8.900014
0.635592,1.440164,3.107186,-9.220849,-2.147376,3.10958,-8.686174
0.668896,1.128158,3.802128,-9.226834,-1.874577,3.602055,-9.007458
0.702203,1.12741,3.57901,-9.192566,-1.770575,4.070587,-8.83073
0.73561,1.227072,3.715036,-9.184186,-1.88191,3.917802,-8.6754
0.768866,1.339304,3.569134,-9.102332,-2.001774,3.963892,-8.783293
0.802226,1.338556,3.267005,-9.204089,-1.925007,4.326477,-8.933385
0.835533,1.317756,3.404976,-9.081681,-2.181046,2.430501,-8.640384
0.868867,1.302941,3.365919,-9.16593,-1.891786,3.894009,-8.767281
0.902199,1.139531,3.386121,-9.098142,-2.00327,3.453909,-8.909292
0.935531,1.42909,3.401085,-9.283549,-1.830881,3.464234,-8.958824
0.968902,1.131899,3.461092,-9.190022,-2.031403,2.776176,-8.54955
1.00223,1.429689,3.712791,-9.316321,-1.670315,3.960001,-9.046814
