time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.025756,1.241438,2.888707,-9.315124,-0.795652,3.204604,-9.40476
0.059096,1.238146,2.888408,-9.296269,-0.625208,3.210889,-9.247934
0.092162,1.210911,2.86252,-9.205286,-0.668605,3.200563,-9.229827
0.125494,1.228419,2.906515,-9.414187,-0.652144,3.223159,-9.19107
0.159021,1.24907,2.87943,-9.403114,-0.60755,3.216725,-9.227732
0.192177,1.176792,2.930308,-9.187927,-0.62042,3.247252,-9.247934
0.224294,1.214353,2.897536,-9.334278,-0.57837,3.246803,-9.186581
0.259176,1.158386,2.907712,-9.401168,-0.612788,3.241266,-9.145578
0.292629,1.20283,2.856983,-9.382164,-0.613386,3.223908,-9.197205
0.325882,1.239343,2.940933,-9.406406,-0.600218,3.203107,-9.2204
0.359233,1.227371,2.89185,-9.372587,-0.581662,3.237525,-9.190621
0.392636,1.241288,2.923125,-9.358221,-0.528539,3.26476,-9.175507
0.425635,1.188015,2.823463,-9.273822,-0.616828,3.167043,-9.268884
0.458844,1.226324,2.877933,-9.33787,-0.695391,2.930607,-9.150367
0.492074,1.273312,2.938987,-9.385306,-0.606204,3.359933,-9.172364
0.525542,1.189063,2.92552,-9.369295,-0.648553,3.299328,-9.156802
0.558892,1.221086,2.810295,-9.247336,-0.584356,3.296185,-9.201844
0.592204,1.224528,2.96308,-9.386952,-0.629398,3.235879,-9.158148
0.625404,1.206421,2.922227,-9.406705,-0.719483,3.401833,-9.155904
0.658876,1.211809,2.894244,-9.372587,-0.641519,3.290349,-9.141388
0.692289,1.297704,2.95066,-9.378273,-0.656334,3.275834,-9.147224
0.725496,1.177989,2.889306,-9.366002,-0.496366,3.279575,-9.235514
0.758779,1.20687,2.92103,-9.394285,-0.680426,3.274936,-9.186581
0.792214,1.1735,2.86267,-9.357922,-0.754649,3.251741,-9.129417
0.825508,1.193702,2.907562,-9.356575,-0.705417,3.37789,-9.167725
0.859078,1.229915,2.95066,-9.381116,-0.742079,3.366517,-9.152013
0.892467,1.189212,2.916391,-9.363608,-0.621916,3.362926,-9.215611
0.925915,1.148659,2.839026,-9.349542,-0.585852,3.307408,-9.290732
0.959289,1.199388,2.891251,-9.357024,-0.7542,3.315339,-9.133308
0.992611,1.22782,2.95036,-9.383211,-0.82977,3.266706,-9.133457
1.025854,1.227671,2.914745,-9.354929,-0.652743,3.310551,-9.173113
1.059168,1.190559,2.934049,-9.394435,-0.720381,3.318482,-9.185832
1.092722,1.164222,2.904719,-9.334128,-0.846081,3.312047,-9.094849
1.125931,1.215999,2.910705,-9.361363,-0.666959,3.296036,-9.196158
1.159285,1.204925,2.915045,-9.335326,-0.653491,3.317434,-9.211571
1.192589,1.189961,2.909657,-9.351786,-0.679678,3.352152,-9.192566
1.225866,1.217495,2.931954,-9.370941,-0.800739,3.28167,-9.137348
1.258906,1.22393,2.9339,-9.374831,-0.789666,3.287057,-9.12388
1.292341,1.217944,2.883769,-9.323653,-0.653042,3.208644,-9.217257
1.325481,1.191756,2.922976,-9.378572,-0.72083,3.265957,-9.179996
1.35894,1.162426,2.918786,-9.359418,-0.806276,3.236478,-9.11984
1.392236,1.201932,2.891401,-9.373036,-0.635085,3.266706,-9.204538
1.425628,1.199987,2.913399,-9.367499,-0.703023,3.329855,-9.212469
1.45922,1.21121,2.92971,-9.337121,-0.663666,3.289302,-9.194512
1.492722,1.204177,2.83738,-9.295072,-0.750908,3.242763,-9.16593
1.526014,1.221386,2.922976,-9.376178,-0.63718,3.303069,-9.22878
1.559365,1.151652,2.934498,-9.390394,-0.713049,3.30262,-9.179098
1.592605,1.189661,2.890952,-9.358969,-0.820193,3.229145,-9.103978
1.625913,1.2362,2.938838,-9.40057,-0.650348,3.280772,-9.206483
1.659019,1.247873,2.868206,-9.309737,-0.757044,3.248299,-9.159046
1.692145,1.255055,2.977745,-9.355976,-0.577771,3.248898,-9.257062
1.725547,1.189512,2.967569,-9.380817,-0.730707,3.263114,-9.188825
1.758993,1.189063,2.903821,-9.360915,-0.722177,3.266556,-9.179996
1.792593,1.280345,2.90038,-9.361064,-0.726517,3.320128,-9.191219
1.825723,1.239792,2.959937,-9.403263,-0.717987,3.222112,-9.184635
1.858843,1.129056,2.875389,-9.393088,-0.755248,3.295587,-9.168623
1.892574,1.188464,2.898584,-9.390095,-0.715892,3.319081,-9.151414
1.925738,1.189212,2.885864,-9.386204,-0.619372,3.140856,-9.250628
1.958937,1.154795,2.851147,-9.364057,-0.719483,3.34856,-9.175956
1.992599,1.170657,2.959189,-9.448007,-0.692398,3.307857,-9.200647
2.025694,1.120077,2.951109,-9.424662,-0.854461,3.377292,-9.164882
2.058923,0.45671,3.738829,-9.92881,-0.717837,3.282119,-9.208578
2.0924,1.499422,3.096412,-9.367798,-0.833062,3.202509,-9.184934
2.125648,-0.8172,3.683012,-10.429365,-0.740284,3.275385,-9.259906
2.158914,1.083565,-0.280281,-10.212233,-0.732353,3.136666,-9.149768
2.192199,3.572127,-1.978878,-10.511818,-1.122921,3.445379,-9.084674
2.225626,2.638355,-3.801978,-10.019792,-0.699281,3.356342,-9.312879
2.259032,3.367715,-3.271195,-11.355805,-0.636282,3.251741,-9.286692
2.292358,2.255418,-2.340865,-11.617081,-0.706464,3.184851,-9.201994
2.325896,1.774017,-1.59684,-11.30328,-0.886485,3.095364,-9.082279
2.359428,2.031104,0.398499,-13.128774,-0.742977,3.127538,-9.201844
2.392915,1.733614,-0.496066,-11.203169,-0.694343,3.250843,-9.251226
2.425712,0.323079,-0.62431,-9.625783,-0.856556,2.950061,-9.034543
2.458998,0.931527,0.950831,-10.198167,-0.962503,3.106737,-9.078987
2.492247,1.258497,2.192868,-10.447771,-0.482449,3.346316,-9.319314
2.525761,1.00156,2.680554,-9.075097,-0.853114,3.201012,-9.104726
2.559027,1.471738,4.716446,-9.610369,-0.693745,3.163602,-9.192716
2.59239,1.399461,5.834279,-7.660821,-0.509235,3.160309,-9.275917
2.625602,1.535187,9.420921,-5.269377,-0.531532,3.092222,-9.278312
2.658879,1.203578,10.202955,-3.420987,-0.405682,2.897387,-9.490954
2.692406,3.01336,8.638887,2.033498,-0.349716,3.231539,-9.812836
2.726071,8.296804,-3.775043,-11.902151,-0.469729,3.484137,-10.064087
2.75907,-2.393689,7.350611,-18.224865,-1.378361,3.840137,-10.743615
2.792257,-2.004318,8.485653,-15.20103,-1.668668,2.134208,-12.667425
2.825661,2.053251,3.628692,-11.366878,-0.293151,-1.942814,-12.267878
2.859045,1.321347,3.14325,-9.574904,3.190986,4.623817,-15.966154
2.892283,1.172004,3.115417,-9.076443,-1.146714,-0.991534,-13.241007
2.925514,1.270169,3.134421,-9.486166,-7.777243,17.093564,-22.636339
2.959155,1.242036,3.098956,-9.39234,-13.463226,-1.170058,-16.109213
2.992474,1.154495,3.04284,-9.302255,-3.223758,-1.231711,-8.646669
3.025812,1.267625,3.053913,-9.49275,-1.272264,-1.152251,-5.910896
3.059016,1.153298,3.16854,-9.550961,-1.757556,2.781563,-8.420409
3.092244,1.204326,3.089678,-9.473147,-1.625122,5.106566,-10.959849
3.125693,1.178887,2.998994,-9.329789,0.325473,7.033368,-12.126765
3.158944,1.217046,2.948565,-9.2831,-0.016161,7.031273,-12.098333
3.192409,1.278549,2.947816,-9.411643,-0.987943,8.713858,-14.449074
3.225556,1.125315,2.85818,-9.226236,-1.221236,11.653893,-13.948818
3.25895,1.299649,2.871499,-9.079586,-1.208068,15.83806,-9.546023
3.292382,1.312219,2.977296,-9.27487,0.793557,21.671292,-6.544485
3.325622,1.344542,2.873893,-9.255267,4.214544,22.25011,5.751976
3.359079,1.368185,3.075013,-9.771834,6.774486,18.478809,6.657764
3.39236,1.456026,2.860575,-9.924021,-1.736756,-5.026507,-7.808818
3.425786,-1.162277,-3.224207,-9.465066,4.06131,11.415961,-17.808857
3.458939,2.935995,2.197806,-12.162979,-2.456838,8.862005,-13.149575
3.492271,1.312369,8.5916,-13.214819,-2.427957,8.689167,-12.726235
3.525731,2.995702,15.281089,-13.766253,0.866433,4.124758,-8.980821
3.559096,8.691562,10.347211,-35.260218,-0.396255,2.867608,-8.992943
3.59245,12.582578,1.251614,-24.035351,-0.604258,3.140856,-9.281903
3.625645,7.509083,-5.277159,-5.344498,-0.562957,3.145195,-9.213516
3.658925,4.303432,-1.782846,-6.084033,-0.543503,3.201312,-9.22459
3.692548,5.964768,2.850997,-9.987918,-0.710654,3.405724,-9.160842
3.725618,6.323312,5.612658,-10.63273,-0.651396,3.417695,-9.148272
3.759105,3.963293,8.518425,-11.419253,-0.671598,3.469322,-9.152761
3.792309,2.162341,9.524175,-9.120139,-0.636431,3.451215,-9.126274
3.825758,5.210118,9.002669,-10.431759,-0.671298,3.384475,-9.097992
3.859016,5.282995,14.644807,-14.114472,-0.679529,3.340928,-9.194661
3.892504,3.229145,28.808213,-16.175654,-0.687909,3.536512,-9.280706
3.925623,1.337359,24.21178,4.030184,-0.772008,3.604001,-9.426458
3.958988,-8.849585,28.285959,21.063592,-0.872418,3.81395,-9.838724
3.992514,-12.687178,0.316944,-36.938464,-1.531745,4.05697,-11.118022
4.02569,11.321087,-0.710056,-16.182837,-0.620569,3.020992,-11.795007
4.05924,-7.444737,15.622125,-19.767684,-0.496366,-4.227713,-12.973894
4.092295,1.522467,4.360895,-10.518552,-0.146949,-0.02918,-14.993625
4.125666,0.49861,3.584996,-8.297252,-1.532194,-2.031553,-13.03405
4.159116,0.616978,3.133224,-7.54395,-4.529991,20.903923,-17.312492
4.192347,1.029992,3.086685,-9.243445,-13.094805,0.427231,-14.761977
4.225803,0.996023,2.588823,-9.389347,-3.576017,-2.995702,-7.067636
4.259038,1.030591,2.878831,-9.343107,-0.558318,-2.187032,-6.164541
4.292458,1.161529,2.91684,-9.356575,-2.677711,2.139445,-7.581211
4.325693,1.241288,3.058403,-9.204538,-3.338833,5.534844,-10.205499
4.358942,1.415323,2.965025,-9.196008,-0.819594,8.702934,-11.988944
4.392442,0.973577,2.870301,-9.09455,-0.470028,8.006796,-10.957305
4.425687,1.275407,2.919684,-9.236262,-1.740946,10.002434,-13.857236
