time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.00902,1.485206,2.903971,-9.39638,0.307217,3.066034,-9.303302
0.037589,1.297105,2.789943,-9.370492,0.404934,3.028324,-9.285943
0.070889,1.33257,2.856983,-9.31662,0.380093,3.043588,-9.284746
0.104798,1.363397,2.853242,-9.348793,0.334751,3.019944,-9.296867
0.137765,1.350378,2.829,-9.348345,0.361837,3.027726,-9.287589
0.171177,1.340502,2.875988,-9.386354,0.361986,3.034011,-9.297915
0.204463,1.386891,2.899182,-9.365404,0.412416,3.039697,-9.293575
0.237866,1.401855,2.865513,-9.361513,0.381141,3.043588,-9.320212
0.271183,1.397515,2.898584,-9.348793,0.361986,3.002735,-9.294772
0.304512,1.413078,2.867159,-9.311981,0.344328,3.035507,-9.297316
0.337754,1.402603,2.912052,-9.398176,0.438304,3.027576,-9.297167
0.371184,1.376715,2.851895,-9.277863,0.426782,2.975201,-9.288038
0.404533,1.351425,2.878681,-9.35044,0.382787,3.008721,-9.29582
0.437901,1.422805,2.838427,-9.30854,0.411368,2.973705,-9.355228
0.471221,1.397216,2.899931,-9.2623,0.403288,3.026229,-9.281454
0.504558,1.470541,2.90023,-9.543329,0.40673,3.02174,-9.292378
0.53789,1.302343,2.893795,-9.325449,0.314101,3.054213,-9.333081
0.571261,1.451986,2.849351,-9.411793,0.38144,2.986724,-9.317219
0.604553,1.45019,2.89604,-9.317518,0.446235,3.061994,-9.299411
0.637896,1.505109,2.900978,-9.394135,0.43995,3.129633,-9.27472
0.670316,1.40799,2.918636,-9.429451,0.396853,3.063939,-9.296568
0.704592,1.375368,2.921928,-9.259756,0.31844,3.110778,-9.306744
0.73789,1.330326,2.899332,-9.259756,0.299436,3.11811,-9.278761
0.771217,1.375967,2.734276,-9.225937,0.433516,3.112723,-9.257511
0.804553,1.432233,2.902624,-9.369893,0.405682,3.108084,-9.311532
0.837929,1.457522,2.831843,-9.370342,0.231049,3.110478,-9.214264
0.871223,1.386592,2.776326,-9.285943,0.378746,3.164649,-9.286093
0.904531,1.490294,2.861772,-9.358071,0.290756,3.096861,-9.248682
0.93794,1.554341,2.898734,-9.322007,0.245863,3.099704,-9.22878
0.971229,1.499422,2.941082,-9.371838,0.367972,3.073217,-9.245689
1.004566,1.523216,2.920731,-9.404012,0.298089,3.140706,-9.254219
1.037882,1.444204,2.884218,-9.386653,0.348967,3.025182,-9.251825
1.071225,1.33691,2.839325,-9.418377,0.338792,3.056756,-9.265592
1.104606,1.422655,2.885864,-9.412691,0.281329,3.266107,-9.280856
1.13784,1.462161,2.821667,-9.289385,0.249156,3.16001,-9.287141
1.171166,1.434477,2.849202,-9.303152,0.323977,3.117212,-9.263796
1.204484,1.419064,2.755076,-9.207531,0.356001,3.102697,-9.267238
1.23784,1.457373,2.903672,-9.400271,0.175681,2.987023,-9.215312
1.271171,1.377763,2.823164,-9.33338,0.254393,3.174376,-9.263796
1.304511,1.400658,2.885415,-9.352834,0.308264,3.078155,-9.283848
1.337893,1.480567,2.87494,-9.399522,0.302129,3.209542,-9.311682
1.371173,1.532344,2.93375,-9.441722,0.500855,2.602889,-9.103529
1.404505,1.555389,2.937192,-9.453843,0.023344,2.803261,-9.127023
1.437835,1.489546,2.82496,-9.39623,0.484544,2.966821,-9.377675
1.471186,1.534139,2.847256,-9.290582,0.297041,2.925969,-9.327694
1.50454,1.389135,2.975949,-9.378123,0.119714,3.156568,-9.277114
1.537849,1.296506,3.043139,-9.237609,0.310958,3.139509,-9.298813
1.571223,0.827376,3.371007,-9.36286,0.220574,3.138162,-9.256763
1.604513,1.393774,2.86671,-9.014641,0.061503,3.358586,-9.168623
1.63789,1.008743,2.708088,-9.478684,0.309162,3.481742,-9.222644
1.671184,0.520159,2.374085,-9.753727,0.108491,3.376394,-9.197804
1.704502,0.248407,2.02422,-9.774977,0.040853,3.190388,-9.197654
1.737789,1.186818,1.619586,-9.93285,0.201419,3.536661,-9.13211
1.771185,1.437171,1.163175,-10.077106,0.164907,3.610435,-9.126723
1.804585,1.657445,0.57433,-10.462436,0.232844,3.488925,-9.127621
1.837875,1.298153,0.081106,-10.34781,0.196631,3.498802,-9.009403
1.871211,2.633417,-0.230001,-10.861983,-0.005986,3.321624,-9.15725
1.904435,3.812902,0.212643,-11.763881,0.176878,2.922976,-9.405358
1.937879,2.634015,-0.336248,-10.648592,0.726217,3.21029,-9.429002
1.971227,1.995788,0.050729,-10.930669,0.560862,3.114519,-9.324252
2.004515,1.233806,0.556971,-9.830195,0.447432,2.739962,-9.293725
2.037871,1.236649,1.141327,-9.533303,0.54051,3.022189,-9.280556
2.071198,1.858266,1.5506,-9.220549,0.514323,3.02997,-9.260354
