time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.00306,0.950382,3.543246,-9.68564,-2.192419,3.417097,-8.601177
0.03422,0.94724,3.330453,-9.17401,-2.487814,3.233934,-8.605667
0.067383,0.918059,3.352002,-9.230576,-2.386206,3.149385,-9.143034
0.100717,0.979114,3.240069,-9.334577,-2.419876,2.969814,-9.146177
0.134053,0.890525,3.452113,-9.191818,-2.411047,3.194129,-8.724932
0.167402,0.953824,3.348261,-9.250628,-2.343708,3.132925,-8.837912
0.200723,0.944846,3.376693,-9.234766,-2.362264,3.056008,-9.095747
0.234081,0.941703,3.374448,-9.276666,-2.415836,3.175723,-8.864549
0.267408,0.965347,3.282418,-9.245989,-2.368997,3.106288,-8.912135
0.300715,0.961157,3.185449,-9.198402,-2.360917,3.140557,-8.960171
0.334025,1.104365,3.257428,-9.324551,-2.34715,3.211188,-8.888641
0.367409,0.999016,3.367266,-9.197504,-2.362862,3.102697,-8.951791
0.400749,0.947689,3.284363,-9.310784,-2.403715,3.148637,-8.885349
0.434084,1.020715,3.225105,-9.067465,-2.327397,3.180212,-8.93952
0.467459,0.862991,3.645452,-9.547519,-2.378874,3.151929,-8.923957
0.50074,0.965496,3.162255,-8.987406,-2.415088,3.10973,-8.920366
0.53405,1.136688,2.918786,-9.244792,-2.431099,3.069326,-8.909891
0.5674,0.874513,3.389113,-9.519835,-2.381567,3.159711,-8.935929
0.600719,0.927038,3.233485,-9.134954,-2.4097,3.186946,-8.917373
0.634048,0.828723,2.989118,-8.979325,-2.36361,3.124096,-8.911237
0.667379,1.128757,3.127238,-9.198851,-2.382166,3.174376,-8.913781
0.700777,1.234854,3.460493,-9.691326,-2.377976,3.157765,-8.928446
0.734082,1.269571,3.213732,-9.141987,-2.389199,3.133074,-8.903007
0.76732,1.132498,3.300226,-9.389047,-2.412244,3.131428,-8.904653
0.800631,1.046154,3.5835,-9.210823,-2.408354,3.148039,-8.890886
0.833948,1.144619,3.496108,-9.221896,-2.316922,3.148937,-8.938024
0.867365,1.029693,3.562999,-9.238507,-2.344606,3.181858,-8.936228
0.900607,1.074736,3.496108,-9.236561,-2.367202,3.081448,-8.88939
0.933945,1.14432,3.467377,-9.121336,-2.456389,3.086386,-8.874126
0.96736,1.817414,2.553507,-9.198702,-2.331886,3.124694,-8.933385
1.000801,1.178438,3.314442,-8.955233,-2.470306,3.11392,-8.90181
1.034085,1.03508,3.521697,-9.497838,-2.337872,3.213283,-8.976183
1.067384,0.730407,3.474859,-9.145279,-2.320513,3.24815,-9.268136
1.100764,0.956817,3.511521,-8.837314,-2.667086,2.878083,-8.56661
1.134121,1.009641,3.580058,-9.156203,-2.765551,3.096412,-8.828784
1.167384,1.02266,3.606694,-9.080783,-2.848603,3.180062,-8.859611
1.200793,0.915516,3.517208,-8.957028,-2.728889,3.1642,-8.915278
1.234085,1.226174,3.891315,-9.144381,-2.656013,3.127388,-8.854523
1.267491,1.505857,4.376757,-10.570478,-2.639552,3.153426,-8.866943
1.300751,-0.120612,5.425006,-7.727262,-2.656462,3.121552,-8.828036
1.334124,2.214117,4.848581,-8.353818,-2.59421,3.078904,-8.83911
1.367391,-7.971929,-4.310315,-28.212185,-2.599148,3.310701,-8.871133
1.400731,-2.703001,8.12666,-18.671998,-2.675017,3.257877,-8.83896
1.434108,1.494933,-0.515221,-2.167428,-2.499187,3.47007,-9.02347
1.467463,1.109004,5.337465,-6.100793,-2.656013,3.346316,-9.6183
1.500713,-0.446086,2.775128,-4.183568,-3.214929,2.331886,-9.792036
1.534048,-0.973128,3.10988,-6.343813,-5.603081,0.729659,-11.008783
1.567382,0.580615,4.026742,-7.468679,-9.536895,-0.858951,-15.58247
1.600694,3.369959,3.602654,-6.931312,-3.038949,-7.511627,-10.786862
1.634047,4.726622,3.314741,-9.809993,2.380071,-5.469899,-9.509959
1.667666,-0.204712,3.009918,-11.103357,-5.046708,-0.514772,-10.665202
1.700746,-0.124054,3.319081,-10.553718,-7.191241,1.431185,-9.848751
1.734081,-0.911625,3.153276,-10.640212,-5.899224,1.778207,-10.983343
1.767384,-3.136217,3.02159,-11.873719,-4.146007,2.023472,-10.171381
1.800745,-2.914895,2.338919,-10.230041,-1.246526,1.113643,-9.371689
1.834139,-3.149086,2.180747,-9.105025,-1.188464,0.77096,-9.580441
1.867412,-4.079566,4.317498,-10.796589,-4.239834,1.946705,-10.466477
1.900745,-2.407605,5.481271,-10.055108,-0.753003,2.336675,-6.396637
1.934077,-0.161315,5.299605,-7.248106,-0.412266,4.13658,-6.230234
1.967385,-2.326499,9.917736,-8.222132,-2.716618,7.168047,-7.053869
2.000716,-6.009212,9.555151,3.453759,-6.995808,15.069494,3.063191
2.034038,-2.061631,16.101431,-1.465004,-12.557737,16.690875,3.544144
2.067402,0.180918,12.69062,-16.409995,-12.546065,10.066481,-34.441072
2.100717,-0.45267,14.304519,-17.050617,-1.095835,-4.323334,1.04346
2.134045,-1.585467,0.901748,-6.954207,-0.302578,9.787247,-7.369017
2.167416,-0.379794,6.154515,-8.678543,-4.213945,2.883769,-10.484434
2.20074,-0.168797,2.336974,-9.503973,-3.695283,2.988819,-8.40724
