time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.022014,0.207255,3.604001,-9.203191,-1.731369,4.169801,-8.691113
0.05535,0.44848,3.660266,-9.156802,-1.597887,4.159775,-8.690664
0.088655,0.395656,3.653233,-9.06103,-1.545812,4.1493,-8.717899
0.12201,0.392513,3.712043,-9.084374,-1.488648,4.112338,-8.702186
0.155351,0.351661,3.709798,-9.126125,-1.564068,4.119521,-8.693507
0.188714,0.315896,3.694984,-9.131811,-1.564816,4.122065,-8.672707
0.222127,0.340138,3.699174,-9.12807,-1.590705,4.179976,-8.731367
0.255373,0.23883,3.681067,-9.122833,-1.524413,4.146606,-8.717001
0.288704,0.316495,3.682414,-9.193165,-1.530997,4.168753,-8.693058
0.322044,0.380392,3.797489,-9.116847,-1.43747,4.11563,-8.740345
0.355373,0.344927,3.743468,-9.181343,-1.488798,4.130594,-8.742291
0.388714,0.333105,3.764119,-9.175806,-1.627517,4.153041,-8.682433
0.422039,0.346423,3.740774,-9.143783,-1.585317,4.142416,-8.692011
0.455373,0.202766,3.752596,-9.149619,-1.549104,4.122663,-8.684977
0.488714,0.376202,3.751249,-9.131063,-1.762944,4.145708,-8.643975
0.522036,0.368122,3.736135,-9.127771,-1.6344,4.155136,-8.663578
0.555371,0.384732,3.701568,-9.057289,-1.25745,4.082709,-8.818608
0.588744,0.345226,3.815745,-9.155305,-1.386891,4.075376,-8.775511
0.622069,0.387126,3.775342,-9.146626,-1.524712,4.053229,-8.790326
0.655374,0.43157,3.748257,-9.102332,-1.493586,4.050685,-8.753663
0.688736,0.387126,3.756637,-9.119391,-1.506156,4.067295,-8.731516
0.722064,0.333704,3.757085,-9.139593,-1.631108,4.046196,-8.744535
0.755401,0.326521,3.76756,-9.162787,-1.585617,4.060561,-8.743637
0.788675,0.082753,3.819487,-9.269034,-1.695455,4.067445,-8.718647
0.822012,0.131237,3.867223,-9.294323,-1.711766,4.058466,-8.698595
0.855358,0.627004,3.764867,-9.110412,-1.620633,3.983196,-8.690065
0.888679,-0.092779,3.640514,-9.122683,-1.408589,4.042903,-8.766084
0.922009,0.590641,3.75514,-9.014192,-1.769977,3.987835,-8.75531
0.955373,0.697486,3.249646,-8.339152,-1.5925,4.008037,-8.756207
0.988709,0.255141,3.681815,-9.065968,-1.523515,4.015968,-8.752766
1.022038,0.421993,3.789708,-9.041277,-1.316559,4.031531,-8.917223
1.055435,0.409722,3.891465,-9.08632,-1.443755,4.014621,-8.798257
1.088707,0.32278,3.857346,-9.108168,-1.568408,4.000405,-8.757255
1.122008,0.298837,3.892662,-9.091707,-1.535935,4.012227,-8.744984
1.155317,0.359592,3.882636,-9.096944,-1.574244,4.055922,-8.729421
1.188716,0.359891,3.898049,-9.101883,-1.560477,4.024198,-8.762193
1.222009,0.22207,3.834451,-9.107569,-1.597887,4.027191,-8.80948
1.255366,0.42334,3.824275,-9.067465,-1.662084,4.084953,-8.731965
1.288706,0.240925,3.772349,-9.066417,-1.526059,4.043053,-8.785986
1.322047,0.476762,3.808114,-9.108916,-1.484608,4.030932,-8.814568
1.355375,0.36902,3.790306,-9.10308,-1.573795,4.008635,-8.83043
1.388791,0.484544,3.744515,-9.063275,-1.519774,4.062507,-8.662232
1.422041,0.380243,3.805121,-9.093054,-1.196096,4.045597,-8.687521
1.455371,0.40643,3.797788,-9.110263,-1.386891,4.04844,-8.731067
1.488709,0.428278,3.800332,-9.117595,-1.358908,4.041706,-8.765934
1.522031,0.283723,3.821881,-9.126723,-1.254606,4.028538,-8.775661
1.55537,0.157424,3.777587,-9.114902,-1.481764,4.027041,-8.826689
1.588705,0.3982,3.787762,-9.071804,-1.73496,4.001303,-8.808133
1.62204,0.196182,3.81365,-9.146327,-1.578583,4.036918,-8.771022
