time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.014504,1.090299,3.635276,-9.108317,-1.302642,3.599811,-9.026612
0.048157,0.950532,3.677475,-9.047712,-1.297255,3.635126,-9.022572
0.081453,0.814955,3.657723,-9.126125,-1.383299,3.548334,-8.977679
0.114859,0.951131,3.682114,-9.118942,-1.373273,3.558809,-8.99414
0.148162,0.914767,3.691691,-9.120887,-1.283039,3.555217,-8.992194
0.181461,0.866433,3.612081,-9.098142,-1.296207,3.603253,-9.011648
0.214895,0.839647,3.634678,-9.048011,-1.358758,3.555516,-8.991296
0.248166,0.897259,3.659219,-9.102332,-1.321497,3.534117,-9.00656
0.281505,0.884539,3.669095,-9.092156,-1.44166,3.559557,-8.98157
0.315616,0.920903,3.681665,-9.128369,-1.3411,3.548782,-8.992643
0.348153,0.893967,3.691243,-9.141987,-1.36624,3.5835,-8.993391
0.381518,0.769913,3.752447,-9.206184,-1.305934,3.57093,-9.017634
0.41505,0.908482,3.690045,-9.134355,-1.396917,3.528581,-8.977679
0.448187,0.869426,3.716981,-9.151414,-1.364893,3.57916,-8.990249
0.481482,0.767968,3.728803,-9.162638,-1.317756,3.622556,-9.013444
0.514968,0.818846,3.677326,-9.188676,-1.26987,3.554319,-9.020178
0.548188,0.935119,3.623604,-9.055493,-1.459468,3.300375,-8.948199
0.581484,0.801787,3.702167,-9.187778,-1.47937,3.694086,-8.94775
0.614815,0.770212,3.820235,-9.249879,-1.201483,3.534267,-9.085721
0.648209,0.837252,3.657423,-9.066717,-1.429838,3.575569,-9.020926
0.681485,0.75854,3.775492,-9.188227,-1.466052,3.582452,-8.975434
0.714865,0.77096,3.755739,-9.122533,-1.254457,3.605647,-9.04442
0.748143,0.849822,3.719824,-9.096795,-1.317756,3.696779,-9.057738
0.781507,0.776797,3.712492,-9.088564,-1.389884,3.725361,-9.025565
0.814471,0.870473,3.765914,-9.134654,-1.36609,3.70052,-9.042624
0.847676,0.78772,3.757983,-9.13211,-1.317457,3.568086,-8.96481
0.881482,0.819594,3.760078,-9.114453,-1.337808,3.557462,-9.008356
0.914916,0.86344,3.810059,-9.152761,-1.147612,3.607443,-9.00641
