time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.031053,1.865748,3.001987,-9.042175,-1.540574,3.763819,-8.355464
0.064434,1.803347,2.920581,-9.016287,-1.560477,3.790755,-8.863352
0.097716,2.184787,3.255782,-9.565925,-1.80215,3.593975,-9.05699
0.131056,2.072555,3.309354,-9.127771,-1.574992,3.638419,-8.718048
0.164425,1.94042,3.288553,-9.327694,-1.702488,3.872011,-8.875922
0.19779,1.901663,3.252489,-9.231922,-1.66388,3.711594,-8.810827
0.231122,1.890888,3.287057,-9.356874,-1.630809,3.659369,-8.855271
0.264424,1.81876,3.15597,-9.133457,-1.766385,3.726708,-8.832825
0.297755,1.783445,2.957992,-8.880561,-1.675851,3.636922,-8.808882
0.33119,1.599085,2.652272,-8.402003,-1.694407,3.352601,-8.764288
0.364414,1.87757,3.5624,-9.45085,-1.465603,3.943241,-9.039033
0.397783,1.975137,3.539654,-9.34206,-1.773419,3.770254,-8.914979
0.431081,1.792573,3.334194,-9.073301,-1.651759,3.656675,-8.890587
0.464423,1.868292,3.453011,-9.241499,-1.63455,3.715335,-8.896273
0.49781,1.819209,3.314891,-9.091258,-1.622429,3.854054,-8.971693
0.531118,1.775065,3.235729,-8.946104,-1.582773,3.733741,-8.937724
0.56438,1.78554,3.282418,-8.973639,-1.830433,3.52484,-8.871582
0.597761,1.885202,3.182307,-8.970047,-1.592201,3.724912,-8.875473
0.631094,1.688272,2.743105,-8.629011,-1.615096,3.5832,-8.895375
0.664421,1.528752,3.509127,-9.502926,-1.538329,3.702167,-9.007159
0.697753,1.697849,3.76367,-10.045082,-1.840608,3.858693,-8.882356
0.731093,1.558232,3.345118,-9.695965,-1.704882,3.674632,-8.94775
0.764506,2.173414,4.28308,-11.1484,-1.821304,3.723117,-8.846891
0.797786,-1.275407,4.913227,-11.126552,-1.580678,3.730299,-8.810528
0.831059,-5.534694,7.514171,-12.118385,-1.502415,3.852857,-8.964361
0.864447,-8.728972,8.703982,-10.440738,-1.93219,3.346316,-8.819806
0.89776,-6.76027,10.004529,-9.177452,-1.632455,3.909721,-8.933684
