time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.024682,-0.828274,3.385073,-9.075845,-1.027149,3.456004,-9.50517
0.050752,-0.593634,3.445828,-9.234167,-1.253709,3.307259,-9.388598
0.084484,-0.446086,3.521697,-9.222495,-1.126512,3.233335,-9.215013
0.11782,-0.88424,3.369959,-9.08632,-1.007696,3.202209,-9.289535
0.150506,-0.413613,3.702316,-9.170868,-0.900252,3.272542,-9.280407
0.184481,-0.536021,3.490721,-9.232371,-0.963701,3.209841,-9.31662
0.217359,-0.647056,3.47022,-9.018831,-0.90953,3.296784,-9.354929
0.25016,-0.5028,3.649343,-9.102631,-0.97238,3.240069,-9.228331
0.28465,-0.59094,3.372802,-9.134505,-0.933922,3.290199,-9.252124
0.318771,-0.579717,3.561801,-9.054595,-0.990786,3.04254,-9.29582
0.351268,-0.583308,3.504937,-9.102481,-1.00605,3.491769,-9.273224
0.384528,-0.492325,3.60026,-9.171766,-1.055881,3.372802,-9.288787
0.418511,-0.538266,3.610735,-9.149619,-1.0897,3.32357,-9.323205
0.450783,-0.865385,3.607891,-8.939221,-1.013681,3.421287,-9.240901
0.484579,-0.625208,3.347064,-9.107569,-0.899504,3.13891,-9.284148
0.518011,-0.295994,3.561652,-8.977829,-0.866433,3.317285,-9.282053
0.55063,-0.630296,3.289302,-9.172664,-1.000662,3.329256,-9.247784
0.584823,-0.449976,3.611932,-9.184635,-1.08536,3.226601,-9.134804
0.618021,-0.225662,3.580357,-9.216509,-1.002159,3.67957,-9.348494
0.651171,-0.145902,3.500747,-9.169222,-1.240839,3.07621,-9.235663
0.684683,-0.587498,3.661314,-8.988753,-1.129954,3.304416,-9.282352
0.718125,-0.530634,3.477403,-9.147075,-0.973876,3.502393,-9.246587
0.7512,-0.552182,3.478301,-9.114004,-1.153747,3.141903,-9.29163
0.784909,-0.432019,3.450916,-9.122683,-1.126662,3.262964,-9.272476
0.817546,-0.505644,3.431163,-9.017783,-1.153897,3.395847,-9.206483
0.850305,-0.549938,3.149385,-8.804841,-1.368784,3.197271,-9.298813
0.884689,-0.558767,3.573174,-8.93518,-0.965496,3.316088,-9.331884
0.918447,-0.495318,3.391657,-9.17401,-1.1527,3.249347,-9.251526
0.951135,-0.514323,3.672537,-9.251974,-1.144619,3.335392,-9.284746
0.984601,-0.223716,3.475906,-9.265742,-1.100025,3.45331,-9.245839
1.017945,-0.162213,3.638868,-9.092904,-1.327932,3.271943,-9.24973
1.051359,-0.294348,3.532621,-9.134355,-1.201633,3.077856,-9.219203
1.084547,-0.174783,3.265508,-9.193913,-1.096135,3.277031,-9.179697
