time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.003681,1.765039,4.596133,-11.243722,-0.690752,3.462289,-9.768542
0.034716,0.326521,2.3678,-7.996919,0.13004,3.317734,-9.133308
0.068035,0.970883,3.928277,-9.732628,-0.418252,3.783273,-9.062377
0.101369,0.206358,3.78013,-9.59346,-0.388174,3.5205,-9.097393
0.134722,0.921651,3.542647,-9.35014,-0.257536,3.851959,-8.992943
0.168035,0.339689,3.436401,-9.156802,-0.340138,3.792401,-8.933235
0.201345,0.772607,3.546388,-9.209626,0.405981,3.762173,-9.083925
0.234721,0.424537,3.590234,-9.298663,-0.19289,3.73434,-9.020926
0.26811,0.926739,3.554469,-9.232671,-0.244966,3.801978,-8.973938
0.301403,0.409124,3.366368,-8.989052,-0.281179,3.794496,-9.00656
0.334703,0.644063,3.400337,-8.998779,0.212493,3.623155,-9.176105
0.367513,0.50699,3.360981,-9.060282,-0.449677,3.735238,-8.954335
0.401385,0.693445,3.704411,-9.508014,-0.02933,3.943541,-8.88071
0.434083,0.677434,3.488177,-9.067764,-0.024392,3.512419,-8.991895
0.46802,0.47362,3.45361,-9.106821,-0.12151,3.888472,-9.000574
0.501407,0.392663,3.508379,-9.163386,0.329663,3.718029,-9.074348
0.53473,0.731305,3.54564,-9.224291,-0.777245,3.762024,-8.825043
0.568104,0.483496,3.422035,-9.189274,0.305272,3.765017,-9.161291
0.601396,0.592287,3.456602,-9.205735,-0.652593,3.36113,-8.883105
0.63473,0.411069,3.50778,-9.240452,-0.246163,4.091238,-8.773716
0.668086,0.370217,3.5205,-9.251675,-0.597075,3.459895,-9.156353
0.701398,0.735345,3.532322,-9.242248,0.286566,3.6254,-9.010301
0.73477,0.856556,3.418743,-9.156502,-0.119714,3.777587,-9.094101
0.768116,0.721878,3.378938,-9.103978,-0.302279,3.909871,-8.690215
0.801431,0.765873,3.567787,-9.198253,-0.568194,3.328508,-9.030054
0.834729,0.135427,3.683611,-9.477786,0.207106,3.376992,-9.156802
0.868042,0.714994,3.653084,-9.351188,-0.095323,3.822928,-9.263946
0.901392,0.432019,4.138226,-9.090809,-0.030078,3.520799,-9.248233
0.9347,0.514622,3.913911,-8.848238,-0.2095,3.381033,-9.147973
0.968034,0.642567,4.266171,-8.705478,0.107294,3.51646,-9.123282
1.001397,0.797896,5.408994,-8.514384,0.255441,3.441339,-9.176704
1.034739,0.734448,4.248363,-8.735407,0.001347,3.523493,-9.047413
1.068038,0.233742,4.006091,-8.874276,-0.815404,3.649043,-8.933085
1.101448,0.759588,4.963208,-8.819207,-0.530035,3.269848,-8.92291
1.1347,0.467185,4.562613,-8.671958,-0.550836,3.662212,-9.061329
1.168013,0.277139,3.384624,-9.075246,0.709008,3.674183,-9.238956
1.201368,0.513275,3.721919,-9.155455,-0.227607,3.381182,-9.346698
1.234725,1.054085,3.685406,-9.975049,0.019304,3.408268,-9.232072
1.268031,0.170443,4.426289,-8.961966,0.37291,3.759929,-9.078089
1.301358,0.275343,3.737782,-8.670612,0.289409,3.722967,-9.002819
1.334728,0.318141,4.010581,-9.037087,0.341186,3.62959,-9.100087
1.368064,0.796849,3.672537,-8.821901,0.17179,3.859292,-9.064622
1.401373,0.537368,4.203171,-9.465365,0.491427,3.747059,-8.928297
1.434765,0.400295,3.761724,-8.752466,0.302279,3.995616,-9.104576
1.468034,0.485891,4.125955,-9.14887,0.763927,3.395698,-8.799753
1.501351,0.655885,3.602355,-8.986508,-1.060071,3.931719,-8.920366
1.534699,0.407478,3.866923,-9.213367,0.426782,3.814997,-8.781946
1.568115,0.844136,3.640514,-8.909292,1.51304,3.441189,-9.085123
1.601368,0.552631,3.796292,-9.271129,-0.148595,3.842681,-9.487512
1.634726,0.554277,3.738829,-9.159794,-1.838064,3.561203,-9.455639
1.668166,0.526444,3.620611,-9.162937,-0.026936,2.95874,-10.109728
1.70137,0.643614,3.650689,-9.265143,0.001945,4.683824,-13.706097
1.734722,0.490979,3.598464,-9.163685,-2.785304,2.517892,-12.255757
1.768012,0.522404,3.560455,-9.103529,-2.770789,4.752211,-15.94296
1.801367,0.339091,3.36951,-9.142585,-11.602566,-13.445718,-18.222919
1.834704,0.055368,3.38657,-9.237758,-8.591002,-27.335876,-12.587216
1.868014,0.72068,3.591131,-9.064023,-6.226643,-2.058937,-18.129842
1.900979,0.761084,3.6881,-9.319613,-2.264696,6.83554,-11.976224
1.934291,0.570289,3.617319,-9.330537,1.339753,11.009082,-11.348023
1.968013,0.449527,3.468125,-9.074049,6.344412,4.570545,-2.885565
2.001367,0.519261,3.265808,-9.024667,12.106114,11.585058,-9.752081
2.033921,0.663816,3.886377,-9.593759,3.958355,19.055682,11.577127
2.068334,0.545299,3.580656,-9.306445,16.017631,31.148479,6.084333
2.101371,0.744474,3.413206,-8.990848,-2.609474,-5.728482,-5.672515
2.1347,0.415708,3.535913,-9.259457,-6.401875,8.997432,-12.029796
2.168165,0.668006,3.588737,-9.276067,4.820448,2.942429,-9.768991
2.201372,0.152187,3.145195,-9.108168,2.432296,5.164328,-9.382762
2.2347,0.542156,3.485633,-9.116697,-2.497391,4.67305,-8.931888
2.268025,0.470627,3.607143,-9.268585,1.027,4.297147,-9.039781
2.301374,0.463444,3.552972,-9.223243,0.333554,4.043203,-9.032897
2.334701,0.697486,3.518854,-9.041128,0.109988,4.079267,-8.932636
2.36802,0.534974,3.661464,-9.324851,0.34373,4.126554,-8.623773
2.401402,0.643614,3.264012,-9.018531,-0.951729,4.439308,-8.907496
2.434701,0.890226,3.78432,-9.255566,0.610992,4.122663,-8.887893
2.468015,0.664564,3.798237,-9.190471,-0.569691,4.11997,-8.822798
2.501418,0.288212,3.693038,-9.136749,0.181517,4.128649,-8.963313
2.534717,0.66636,3.970327,-9.268884,0.138569,4.088545,-8.769675
2.568032,0.302428,4.84918,-9.780364,-0.01676,3.874256,-8.820703
2.60139,1.162576,3.724463,-8.713858,-0.525845,4.05712,-8.895525
2.634702,-0.315747,3.812902,-9.137947,0.216833,3.959403,-9.034244
2.668034,-5.173157,-1.792124,-14.255586,-0.07976,3.986039,-8.903007
2.701392,-5.535442,-1.39542,-13.976202,0.093676,3.979904,-8.841654
2.734725,-3.252789,0.44444,-10.370705,-0.209799,4.044101,-8.971544
2.768035,-0.253495,4.736798,-13.048117,0.057912,3.942194,-8.929494
2.801403,2.604835,3.677775,-11.021652,0.189598,3.933215,-8.978876
2.834702,1.582474,-0.097866,-6.783913,0.010325,4.04036,-9.085721
2.868035,2.286694,4.06954,-14.648398,-0.203963,4.006989,-8.923059
2.901433,0.250203,3.367715,-10.44418,-0.087541,3.924237,-9.04412
2.93479,0.910727,3.377591,-9.95814,0.03337,4.3166,-9.216958
2.968122,1.532194,3.106737,-8.963313,-0.03352,4.106053,-9.118493
3.001427,2.755076,3.598763,-8.744685,0.358096,4.401149,-9.403712
3.034789,3.995018,2.885864,-7.196329,0.658728,3.841484,-9.918185
3.068066,3.545939,5.035485,-8.790176,-1.793171,6.324958,-10.484883
3.101456,4.834515,6.109473,-9.012097,0.042798,4.299392,-12.565818
3.134742,3.31519,5.857923,-7.210396,-3.985141,0.778592,-19.24947
3.168092,2.2424,4.63938,-4.753707,-5.21356,-13.337825,-16.814031
3.201367,2.421821,9.462971,-12.43054,-1.509598,-10.349456,-13.872649
3.2347,0.218928,6.877291,-8.793917,-2.645687,0.999316,-11.830173
3.26806,-0.967741,4.653596,-3.243661,-3.090127,4.961562,-10.241264
3.301367,0.882594,5.361407,-6.484927,-0.996472,7.024988,-12.106563
3.334701,0.287913,8.541619,-10.638865,-3.427572,5.77951,-8.024154
3.368035,-1.924408,4.297745,-6.120097,-0.00404,6.440632,-2.702701
3.40137,-0.265916,5.663686,-5.014236,2.901427,8.277051,-4.557226
3.434784,4.444545,9.877033,-11.051132,3.301722,20.34351,-10.68286
3.468061,-1.477425,12.795519,-15.736303,2.609324,12.898773,7.848174
3.501367,-1.570952,-1.568707,-7.194384,8.530546,36.035967,-12.052692
3.534699,2.287292,7.841739,-15.070242,7.736391,-8.751419,-10.856147
3.568076,1.538778,1.515284,-8.659239,-1.742891,8.079372,-13.499889
3.601366,0.63688,3.833852,-8.847789,1.460665,2.944674,-8.491938
3.634704,-1.4249,3.778035,-9.60169,-0.312903,3.740026,-8.360851
3.668073,0.699581,3.430265,-8.8433,-0.153833,4.206613,-8.825193
3.70137,1.178438,3.821582,-9.226685,0.132434,4.16606,-8.986658
3.734701,-0.553529,4.107699,-9.590467,0.276989,3.838791,-9.332782
3.768059,0.109838,3.611633,-8.977829,-0.408376,4.037816,-8.657892
3.801369,0.558318,3.375346,-8.752915,0.323528,3.648295,-8.882057
3.834712,0.698234,3.94818,-9.439477,0.082453,3.870814,-8.962864
3.868063,0.156975,3.962545,-9.549914,-0.051627,3.890417,-8.879962
3.90137,0.330711,3.144148,-8.699343,-0.174334,3.779981,-8.913931
3.934699,0.374556,3.462439,-8.876221,0.430822,3.882037,-9.141388
3.968148,0.316944,3.991726,-9.695666,0.017059,3.930522,-9.065519
4.001369,0.235239,3.686753,-9.163386,0.289709,4.014471,-8.975584
4.034701,0.38548,3.367415,-8.706376,0.266215,3.930222,-8.85153
4.068086,0.369169,3.825772,-9.526569,0.614284,4.094081,-8.878615
4.101368,0.286566,3.682863,-9.156053,0.274894,4.038115,-8.884002
4.1347,0.432917,3.801529,-9.380069,-0.058061,3.917203,-8.925902
4.168032,0.360191,3.539505,-9.096196,-0.114626,3.977061,-9.004465
4.201408,0.093527,3.614476,-9.050555,0.483197,4.12835,-8.940867
4.234699,-0.197529,3.626746,-9.188975,0.531532,4.26213,-8.99414
4.268035,1.321198,3.936208,-9.242397,0.166104,4.488839,-9.279509
4.301408,0.01257,3.807515,-9.354181,0.378148,4.268715,-9.349392
4.334694,0.575976,3.614625,-8.800951,-1.342597,4.45921,-10.187692
4.368034,-0.140814,4.885094,-10.559704,-1.191457,3.83909,-10.38971
4.401387,-0.293001,5.971651,-10.015153,0.623413,3.467227,-8.376264
4.434694,0.152187,2.667984,-8.527553,-1.771324,5.924963,-9.104875
