time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
2.830281,1.35786,2.963379,-9.416582,1.35786,2.963379,-9.416582
2.863546,1.275556,2.896639,-9.357173,1.275556,2.896639,-9.357173
2.896915,1.305036,2.930458,-9.335625,1.305036,2.930458,-9.335625
2.929431,1.289174,2.801915,-9.351487,1.289174,2.801915,-9.351487
2.963599,1.33272,2.751934,-9.259756,1.33272,2.751934,-9.259756
2.996899,1.392577,2.779169,-9.343556,1.392577,2.779169,-9.343556
3.030247,1.443456,2.90861,-9.367499,1.443456,2.90861,-9.367499
3.063579,1.373722,2.7663,-9.24539,1.373722,2.7663,-9.24539
3.096929,1.427594,2.762858,-9.319015,1.427594,2.762858,-9.319015
3.12921,1.369682,2.755525,-9.359418,1.369682,2.755525,-9.359418
3.163578,1.556736,2.90861,-9.509211,1.556736,2.90861,-9.509211
3.196923,1.581876,3.065585,-9.566674,1.581876,3.065585,-9.566674
3.230254,1.666573,3.219418,-9.701053,1.666573,3.219418,-9.701053
3.263593,1.808884,2.841869,-9.692523,1.808884,2.841869,-9.692523
3.296339,1.030292,1.074287,-9.974451,1.030292,1.074287,-9.974451
3.330251,2.606032,3.215677,-11.170696,2.606032,3.215677,-11.170696
3.363596,1.197593,7.185854,-11.995079,1.197593,7.185854,-11.995079
3.396974,2.973854,10.058251,-9.690279,2.973854,10.058251,-9.690279
3.430262,5.822158,-0.390119,-27.419975,5.822158,-0.390119,-27.419975
3.463593,13.28964,8.990848,-28.020791,13.28964,8.990848,-28.020791
3.496862,6.141197,-5.575247,-4.059514,6.141197,-5.575247,-4.059514
3.529268,3.611333,-1.918423,-5.249475,3.611333,-1.918423,-5.249475
3.563625,3.442686,0.593334,-8.792421,3.442686,0.593334,-8.792421
3.596907,3.884132,3.808413,-11.570243,3.884132,3.808413,-11.570243
3.630155,0.07527,5.371583,-10.457797,0.07527,5.371583,-10.457797
3.662863,-0.441147,6.206591,-10.494759,-0.441147,6.206591,-10.494759
3.696848,2.369746,5.379963,-10.465579,2.369746,5.379963,-10.465579
3.730276,6.044378,6.300716,-11.996127,6.044378,6.300716,-11.996127
3.763556,4.199879,17.083538,-16.157697,4.199879,17.083538,-16.157697
3.79692,6.59656,26.015726,-15.31416,6.59656,26.015726,-15.31416
3.830011,4.246717,23.414782,-2.966522,4.246717,23.414782,-2.966522
3.8636,-11.428681,22.544907,17.274931,-11.428681,22.544907,17.274931
3.897184,-14.32517,-5.986616,-0.398948,-14.32517,-5.986616,-0.398948
3.930226,17.001534,17.982743,-12.608765,17.001534,17.982743,-12.608765
3.963581,5.248876,17.176766,-22.702182,5.248876,17.176766,-22.702182
3.99683,0.72083,3.955213,-10.416945,0.72083,3.955213,-10.416945
4.030269,1.025503,3.358137,-8.476674,1.025503,3.358137,-8.476674
4.063599,1.509448,3.142801,-9.815231,1.509448,3.142801,-9.815231
4.096781,1.533691,2.833489,-9.607975,1.533691,2.833489,-9.607975
4.130003,1.534588,3.113621,-9.386503,1.534588,3.113621,-9.386503
4.163601,1.355615,2.901577,-8.845245,1.355615,2.901577,-8.845245
4.196277,1.283936,2.634314,-8.586063,1.283936,2.634314,-8.586063
4.230248,1.200585,2.512804,-9.960384,1.200585,2.512804,-9.960384
4.262923,1.819958,3.004531,-9.200048,1.819958,3.004531,-9.200048
4.296929,1.678246,2.85818,-9.2831,1.678246,2.85818,-9.2831
4.330019,1.64293,2.571913,-9.122683,1.64293,2.571913,-9.122683
4.363616,1.710868,3.011864,-9.393088,1.710868,3.011864,-9.393088
4.396899,1.732267,2.800119,-10.646647,1.732267,2.800119,-10.646647
4.43028,1.71401,2.831843,-9.623239,1.71401,2.831843,-9.623239
4.463582,1.688421,2.944674,-9.808048,1.688421,2.944674,-9.808048
4.496957,1.620035,2.998396,-9.505919,1.620035,2.998396,-9.505919
4.530281,1.91124,3.133673,-9.500082,1.91124,3.133673,-9.500082
