time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.026582,1.583222,2.76181,-9.397727,0.444589,2.957394,-9.399073
0.059894,1.502415,2.74101,-9.364356,0.314101,2.98837,-9.263647
0.093179,1.578135,2.720658,-9.378572,0.407478,3.02997,-9.318566
0.126523,1.598187,2.77872,-9.391442,0.302129,2.9128,-9.256464
0.15987,1.536234,2.698811,-9.379171,0.351811,3.03431,-9.300159
0.193144,1.538928,2.763905,-9.368846,0.358395,2.993308,-9.290732
0.226552,1.491641,2.691029,-9.338169,0.372162,2.961584,-9.307791
0.259917,1.543417,2.726794,-9.360166,0.279234,2.904869,-9.294772
0.293186,1.572747,2.796228,-9.383211,0.350164,3.004232,-9.322007
0.326616,1.560776,2.702402,-9.359717,0.358694,2.992859,-9.273673
0.359883,1.532942,2.867159,-9.409848,0.453867,3.00917,-9.350589
0.393179,1.624225,2.840971,-9.409698,0.36468,2.972208,-9.293426
0.426499,1.617341,2.713176,-9.370941,0.362286,3.048227,-9.284746
0.459951,1.630061,2.697763,-9.30435,0.342533,2.906216,-9.315124
0.493968,1.641284,2.771537,-9.403263,0.368122,3.258625,-9.254967
0.526557,1.664628,2.631022,-9.321858,0.354654,3.10569,-9.210074
0.55991,1.646222,2.915643,-9.48871,0.563705,3.161357,-9.45923
0.59373,1.541921,2.716917,-9.375729,0.287763,2.88751,-9.280856
0.626577,1.685129,2.777373,-9.411643,0.126598,2.84591,-9.111909
0.659898,1.642631,2.740411,-9.371539,0.413015,3.206699,-9.19092
0.693476,1.582773,2.791589,-9.468358,0.254692,3.215528,-9.219053
0.726586,1.594745,2.748492,-9.401917,0.368271,3.393902,-9.374382
0.759914,1.551049,2.725746,-9.348494,0.380392,3.236927,-9.37109
0.793175,1.499273,2.720509,-9.326646,0.160717,2.976099,-9.185234
0.826633,1.496579,2.767347,-9.307791,0.05043,3.068279,-9.163984
0.859957,1.429988,2.765551,-9.263347,0.316644,3.239171,-9.359268
0.893228,1.025503,2.423019,-8.939071,0.245115,3.171982,-9.247485
0.926589,1.122771,3.204753,-9.96652,0.100111,3.071272,-9.257661
0.959933,1.569755,2.735772,-9.381116,0.483197,3.108533,-9.377824
0.993288,1.504061,2.736371,-9.466562,0.153983,3.367266,-9.348345
1.026594,1.625571,2.420774,-9.225637,0.000449,2.805805,-9.121635
1.059952,1.903009,2.670378,-9.283998,0.51986,2.940783,-9.261701
1.093273,1.631108,2.680255,-9.42137,0.332357,3.072469,-9.277114
1.126603,1.667621,2.579545,-9.277713,0.203514,2.836482,-9.101134
1.159965,1.669117,2.692825,-9.398924,0.363034,3.196673,-9.322157
1.193279,1.668369,2.743703,-9.451897,0.420946,3.311299,-9.281903
1.226612,1.709072,2.668583,-9.44666,0.601714,3.213133,-9.573856
1.259941,1.751271,2.546324,-9.242098,0.073325,3.239321,-9.158747
1.29329,1.040767,2.765252,-9.52193,0.046539,3.418443,-9.034693
1.32664,-0.546795,-0.224614,-9.201994,0.088888,3.204454,-9.259008
1.359961,-1.047201,-0.535572,-11.446788,0.213241,3.284064,-9.291779
1.39335,-0.926589,-1.356962,-11.714648,0.045641,3.131279,-9.19945
1.426584,1.817264,-1.869789,-11.972932,0.194386,3.174226,-9.185832
1.459851,4.193444,-2.002821,-11.723926,0.341186,3.261767,-9.294323
1.4933,4.457115,-1.032985,-10.701266,0.332656,3.194278,-9.193464
1.526573,3.891166,-0.645111,-10.278974,0.447881,3.230791,-9.213367
1.559896,3.616271,-0.680426,-9.250927,0.448779,3.181708,-9.293126
1.593224,4.022103,0.323827,-11.087644,0.618624,3.103894,-9.355527
1.626564,4.351168,0.91357,-11.268862,0.74178,3.18934,-9.315573
1.659868,2.944973,0.862392,-9.342209,0.455513,3.07621,-9.220549
1.693226,-0.096071,1.438218,-7.359141,0.613686,3.001538,-9.29567
1.726601,0.610693,3.643955,-9.743402,0.703621,3.081298,-9.296119
1.759924,4.695047,5.840863,-11.293703,0.651396,2.966073,-9.187927
1.793223,4.284876,7.140363,-9.520284,0.562957,2.844263,-9.272775
1.826527,1.812775,7.802982,-5.467654,0.775001,3.100153,-9.31243
1.859855,0.55338,7.453416,1.292017,0.851917,3.021441,-9.377525
1.893213,3.449868,13.67946,-2.659754,0.6915,3.069925,-9.56398
1.926569,-0.118966,-2.38875,-7.6276,0.910428,3.112723,-9.753428
1.959896,9.681001,18.779741,-17.760074,0.850271,3.281221,-9.929258
1.993197,-1.574244,2.992111,-9.441722,1.576189,3.494462,-10.028472
2.026554,0.690453,3.359484,-9.505769,-1.628714,1.134144,-11.655539
2.059888,1.462012,2.774231,-9.41733,-1.272564,3.36981,-12.082471
2.09327,1.400658,2.68654,-9.40072,-0.036064,2.21696,-14.592731
2.126567,1.537881,2.554555,-9.106222,-2.395484,0.931677,-11.962158
2.159894,1.569755,2.830646,-9.460427,-3.578113,5.249624,-23.02975
2.19324,1.571999,2.466415,-9.199899,-6.762065,-5.521825,-12.249173
2.226569,1.624075,2.630573,-9.310335,0.35196,-3.761575,-10.013956
2.260086,1.533391,2.570567,-9.24973,0.202766,-2.416734,-9.166229
2.293234,1.659091,2.798922,-9.383211,-1.021163,0.84668,-11.292356
2.326562,1.741694,2.702252,-9.398924,1.722241,2.727692,-11.874467
2.359891,1.655799,2.850249,-9.385306,2.748043,2.835883,-10.926778
2.393243,1.730471,2.759266,-9.369295,-0.667856,4.076573,-11.179226
2.426546,1.711317,2.843216,-9.485567,-1.214652,8.329725,-17.293637
2.459918,1.620633,2.724699,-9.447857,2.25901,23.589564,-4.631898
2.493254,1.74753,2.562935,-9.526869,17.963738,34.522029,3.211637
2.526584,2.164286,2.454444,-9.741307,10.584994,16.071652,-23.788889
2.559865,-3.087882,3.886527,-9.757019,-4.361194,-2.035294,-11.489885
2.59328,3.003484,2.185984,-10.326112,2.297468,3.539654,-9.968166
2.626582,2.55216,1.963764,-10.311895,-0.803882,4.071485,-9.491852
2.659956,3.977958,0.798794,-11.682924,-0.409872,3.786415,-9.138695
2.693192,3.309653,0.405083,-14.013014,-0.140964,3.490721,-9.126574
2.726582,4.986402,-1.861858,-11.851272,-0.179123,3.156419,-9.073301
2.759909,5.442664,-1.589358,-10.358883,-0.058061,3.475457,-9.402216
2.793313,3.258924,-0.945743,-8.280642,0.865684,3.307109,-9.521631
2.826666,2.555602,1.267625,-11.401296,0.26831,3.261318,-9.258559
2.859935,2.465368,1.115738,-9.300159,0.238681,3.269549,-9.257212
2.893291,2.817328,1.999679,-10.275981,0.133033,3.157167,-9.283549
2.926679,1.942216,2.807601,-9.29567,0.196032,3.166145,-9.268286
2.959968,2.324554,3.000042,-9.041427,0.197529,3.032365,-9.301357
2.993329,2.630873,3.020094,-8.779552,0.277438,3.004681,-9.30839
3.026633,2.867608,3.205053,-9.139892,0.089636,2.835135,-9.236412
3.060296,2.041728,3.929773,-8.992045,0.164009,3.042391,-9.297765
3.093319,3.420389,7.027382,-14.327564,0.193937,3.030868,-9.279658
3.126649,1.156441,5.00421,-8.648614,0.187353,2.92133,-9.231623
3.160034,-0.568643,5.327588,-5.410191,0.206956,2.950959,-9.30435
3.193311,0.340288,6.191028,-4.565756,0.077814,3.008123,-9.229827
3.22667,2.25048,10.656673,-10.05002,0.243768,2.986724,-9.280556
3.259983,1.12756,7.764075,-5.271023,0.310509,2.996151,-9.359568
3.293397,-0.971632,11.767921,5.247978,0.244816,2.919833,-9.369893
3.326715,14.730852,-5.979882,-29.726571,0.265916,3.017999,-9.650474
3.36002,-2.67397,-5.4063,-4.391123,0.31006,3.128286,-10.232435
3.393349,0.062401,4.564409,-11.893621,0.311557,3.329855,-11.477614
3.426667,1.444204,2.787399,-9.24958,-1.286031,1.86515,-13.21422
3.460093,1.490593,2.808499,-9.296418,0.185108,-1.634849,-14.692094
3.493358,1.670614,2.930907,-9.494546,-0.880948,1.209564,-13.396186
3.526768,1.589807,2.916541,-9.327245,-3.23124,3.292893,-12.452987
3.560069,1.606267,2.896938,-9.339366,-7.127494,3.616421,-16.464615
3.593434,1.604921,2.833489,-9.357024,-2.845461,-4.268565,-8.694106
3.6267,1.659989,2.863119,-9.366302,-1.118731,-1.680041,-7.68626
3.660001,1.663431,2.919085,-9.198103,-2.116251,-0.663966,-7.001494
3.693445,1.638141,2.85848,-9.390693,-1.125165,2.452049,-9.727839
3.726747,1.633951,2.762708,-9.292677,-0.64541,4.026143,-10.531272
3.760115,1.641583,2.90442,-9.378123,-0.203814,3.5205,-11.309864
3.79337,1.597289,2.810145,-9.506966,-1.283787,4.589699,-14.799388
3.826685,1.641583,2.817926,-9.297316,-4.419405,14.674287,-8.755758
3.860078,1.687673,2.794881,-9.362112,14.963247,30.207524,-4.159026
3.893409,1.695305,2.829449,-9.428104,6.252082,28.83425,-2.048462
3.926822,1.784193,2.704796,-9.455489,-2.370195,2.086023,-13.068917
3.960069,1.839261,2.768993,-9.51355,0.522404,-0.767219,-6.611076
3.993347,1.091047,2.647333,-10.026077,0.245564,3.464683,-8.626168
4.026739,0.587498,2.201397,-9.587624,-0.199773,3.498054,-9.249281
4.06008,1.473534,2.575654,-10.208343,0.032173,3.217772,-9.241948
4.093453,0.483496,1.662982,-11.86489,0.027085,3.505386,-9.177303
4.126724,-0.671598,1.154495,-13.523083,-0.122258,3.13068,-9.340862
4.160089,4.736499,-0.129591,-13.265698,-0.086943,3.111077,-9.318266
4.193467,5.588865,-1.767283,-7.763476,-0.200671,3.381482,-9.265742
4.226731,6.801272,-1.034781,-8.459316,-0.364979,3.269249,-9.039332
4.260044,6.088972,0.869575,-9.877033,-0.306918,3.262067,-9.103978
4.293437,4.109046,1.916328,-10.032961,-0.271153,3.277629,-9.195858
4.326736,2.36391,2.839774,-10.926778,-0.146052,3.252639,-9.277114
4.360142,1.959275,2.949762,-10.525586,-0.294647,3.250544,-9.156203
4.393429,0.387276,3.405275,-10.448071,-0.225961,3.213582,-9.213666
4.426823,0.921352,3.282568,-10.00393,-0.229852,3.287506,-9.181642
