time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.008922,1.176792,2.674718,-9.390095,0.609496,2.929859,-9.489308
0.033195,1.413976,2.754777,-9.552757,0.545897,3.047179,-9.238656
0.066506,1.405147,2.657359,-9.405807,0.484095,2.981037,-9.292977
0.099852,1.394074,2.685941,-9.428852,0.615631,2.999892,-9.356126
0.133197,1.355316,2.708388,-9.462672,0.594681,2.926118,-9.339516
0.166506,1.540275,2.64868,-9.390544,0.413912,2.928961,-9.300159
0.199852,1.48371,2.727991,-9.411943,0.38967,2.973405,-9.299561
0.233199,1.545961,2.722005,-9.45085,0.387725,2.959937,-9.283399
0.266552,1.335114,2.614412,-9.364506,0.706764,2.994954,-9.358969
0.299827,1.424302,2.684146,-9.390693,0.68297,2.901876,-9.382164
0.333113,1.590854,2.720359,-9.452496,0.489033,2.93794,-9.300309
0.366317,1.50047,2.678609,-9.444715,0.408226,2.948116,-9.273822
0.399641,1.422207,2.783808,-9.537344,0.594232,2.888109,-9.352385
0.433232,1.512591,2.511757,-9.236561,0.643465,2.984329,-9.358221
0.466556,1.516931,2.681153,-9.357473,0.574629,2.900829,-9.326048
0.499879,1.463209,2.713924,-9.43424,0.398798,2.928064,-9.330088
0.533229,1.298601,2.890503,-9.763454,0.501902,3.032963,-9.330387
0.566492,1.616892,2.784406,-9.512652,0.487986,2.9339,-9.346698
0.599793,1.488199,2.6192,-9.379171,0.421993,2.986275,-9.29582
0.633229,1.74349,2.671875,-9.356725,0.600966,3.052866,-9.365105
0.666504,1.542071,2.706592,-9.40042,0.603061,2.976548,-9.326946
0.699798,1.615994,2.700008,-9.394883,0.583159,2.933151,-9.364955
0.733182,1.34125,2.787998,-9.478684,0.531232,2.966821,-9.355527
0.766508,1.441511,2.697015,-9.403563,0.424687,2.995852,-9.285046
0.799757,1.67645,2.440676,-9.101583,0.357946,2.960985,-9.197205
0.833184,1.511693,2.811192,-9.485866,0.40673,2.848154,-9.250628
0.866559,1.465603,2.408054,-9.245241,0.322032,3.087433,-9.281903
0.899782,1.314613,2.781413,-9.647181,0.487836,2.92971,-9.366751
0.933265,1.38704,2.459382,-9.189723,0.249604,2.854589,-9.16144
