time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.009416,1.411881,2.869703,-9.429301,-0.580914,3.131428,-9.170569
0.03417,1.34933,2.834836,-9.366152,-0.45686,3.18934,-9.209177
0.067519,1.351874,2.831394,-9.36286,-0.458955,3.173029,-9.231174
0.10083,1.300397,2.838128,-9.369743,-0.460302,3.194578,-9.218155
0.134164,1.335414,2.79114,-9.364207,-0.40658,3.173777,-9.251974
0.167581,1.346338,2.855936,-9.397427,-0.478558,3.121253,-9.183288
0.200821,1.378361,2.787399,-9.33772,-0.386528,3.165397,-9.269782
0.234189,1.341998,2.846508,-9.40042,-0.433366,3.208943,-9.254818
0.267516,1.30354,2.814784,-9.413888,-0.527042,3.187245,-9.206782
0.300797,1.300098,2.828551,-9.398625,-0.473171,3.239919,-9.198402
0.334284,1.314015,2.868805,-9.403862,-0.425585,3.141305,-9.254518
0.367518,1.346936,2.792337,-9.351188,-0.372761,3.160908,-9.287141
0.400854,1.34933,2.889755,-9.405658,-0.383984,3.199516,-9.268136
0.434273,1.332122,2.847406,-9.393237,-0.467335,3.209093,-9.20364
0.467527,1.361003,2.830197,-9.385905,-0.444888,3.15597,-9.252573
0.500876,1.347086,2.855936,-9.374382,-0.48604,3.175423,-9.205735
0.534248,1.334965,2.784257,-9.339815,-0.385331,3.187844,-9.288188
0.567519,1.3622,2.85818,-9.396081,-0.425435,3.237974,-9.226535
0.600857,1.343345,2.852494,-9.398026,-0.531831,3.17273,-9.183438
0.634172,1.35352,2.770041,-9.334428,-0.443542,3.238573,-9.226086
0.667526,1.344392,2.873294,-9.404311,-0.38563,3.207746,-9.260055
0.700882,1.336012,2.859078,-9.405658,-0.516867,3.161207,-9.179547
0.734191,1.380606,2.848902,-9.371988,-0.470328,3.242912,-9.207381
0.767522,1.361302,2.873893,-9.412392,-0.478409,3.15567,-9.192566
0.800684,1.368634,2.834836,-9.389646,-0.562657,3.199965,-9.174759
0.834193,1.330625,2.862221,-9.407154,-0.40658,3.234233,-9.271578
0.867523,1.339304,2.780216,-9.327095,-0.403138,3.227349,-9.286093
0.900833,1.364444,2.90008,-9.417031,-0.575227,3.164649,-9.112807
0.933502,1.38704,2.887361,-9.416582,-0.444589,3.217772,-9.224291
0.967617,1.239642,2.752233,-9.353432,-0.516717,3.149535,-9.198103
1.000954,1.375518,2.888259,-9.431845,-0.490979,3.278827,-9.177602
1.034194,1.386292,2.751635,-9.340563,-0.421095,3.228247,-9.234915
1.067523,1.294711,2.597203,-9.248383,-0.515969,3.149984,-9.21621
1.100857,1.321198,2.881076,-9.381715,-0.454466,3.180362,-9.247336
1.134187,1.40829,2.901876,-9.435886,-0.549339,3.157616,-9.05699
1.167268,1.378361,2.896639,-9.425261,-0.389072,3.30247,-9.309138
1.200826,1.377014,2.924921,-9.424513,-0.436957,3.237974,-9.194512
1.234158,1.359805,2.697913,-9.311832,-0.488734,3.258026,-9.154108
1.267496,1.425349,2.623839,-9.225787,-0.51537,3.1642,-9.150965
1.300825,1.377613,2.752832,-9.324551,-0.394309,3.292145,-9.233868
1.334148,1.317756,2.792487,-9.382762,-0.421993,3.318183,-9.216509
1.367495,1.520223,3.04673,-9.489308,-0.61174,3.135918,-9.249879
1.400915,1.470541,2.906964,-9.417779,-0.382487,3.438047,-9.194362
1.43416,1.388836,2.794133,-9.389347,-0.482898,3.268352,-9.27053
1.467252,1.534738,2.749988,-9.339216,0.019454,3.092222,-9.542431
1.5009,1.421758,2.513253,-9.216359,-0.160268,3.431762,-9.243894
1.534158,1.46261,2.895292,-9.460128,-0.234191,3.461391,-8.795563
1.567517,1.42056,2.815682,-9.435886,-1.333319,3.42398,-8.938772
1.600374,1.399162,2.82047,-9.398026,-0.146351,3.454208,-9.577298
1.634242,1.46276,2.776775,-9.363159,-0.374107,3.277929,-9.199151
1.667531,1.397665,2.790691,-9.388898,-0.772158,3.153276,-8.966156
1.700873,1.479071,2.899482,-9.472099,-0.274894,3.346765,-9.317518
1.734187,1.432981,2.838128,-9.546921,-0.482898,3.194129,-9.142735
1.767529,1.46261,2.709585,-9.497838,-0.994677,2.953802,-8.931739
1.800822,1.624524,2.593312,-9.359119,-0.679978,3.363973,-9.142885
1.834177,0.337894,0.095023,-9.130913,-0.518363,3.053614,-9.353881
1.867546,0.168049,0.467485,-12.597691,-0.724272,3.026379,-8.977679
1.900824,3.039548,-2.733378,-15.763089,-0.939758,3.415002,-9.132709
1.934157,2.264996,-4.870429,-14.444136,-0.191543,3.344819,-9.486764
1.967552,-0.508038,-4.808178,-10.534265,-0.298837,3.324019,-9.259008
2.000856,2.044871,-2.658706,-11.239532,-0.355552,3.368163,-9.260654
2.034159,2.926567,-1.303989,-11.646112,-0.450276,3.14759,-9.211721
2.06747,3.546687,-0.60785,-10.507778,-0.313801,3.16435,-9.220699
2.100823,3.001538,0.874214,-9.766297,-0.331609,3.161507,-9.227283
2.134157,2.559194,3.490422,-12.488751,-0.340587,3.135169,-9.218903
2.16747,4.08615,3.760228,-10.514512,-0.321732,3.062593,-9.237758
2.200845,2.649129,4.415963,-6.521589,-0.239429,3.002885,-9.416282
2.234182,2.416883,5.399118,-5.418272,-0.44429,3.13906,-9.239404
2.267324,2.409401,8.771172,-8.100173,-0.132284,3.303368,-9.596004
2.300862,3.801978,10.341225,-6.845866,-0.321583,3.454507,-9.557396
2.334164,2.033199,9.079586,2.58164,-0.44848,3.875154,-9.54707
2.367931,1.548954,14.029924,7.261424,-0.388174,3.931419,-9.601391
2.400886,-3.114219,13.946124,-16.63446,-0.534824,4.0025,-10.240067
2.434221,11.771962,15.207315,-9.316171,-1.665077,3.539954,-10.681065
2.467493,-2.718863,6.593568,-13.937145,-3.147889,1.37447,-12.569259
2.5009,0.711851,2.219205,-8.41128,1.102719,1.690217,-14.414806
2.534182,1.300098,2.924023,-9.386204,3.333746,0.377549,-12.092347
2.567512,1.377763,2.926717,-9.628775,-0.893069,2.004916,-9.453843
2.600827,1.431335,3.046132,-9.432145,-9.863416,6.997753,-19.744489
2.634182,1.319701,2.952306,-9.385456,-12.870939,-2.876287,-10.794793
2.667578,1.318803,2.96323,-9.350589,-2.044272,-0.773355,-8.723585
2.700825,1.291568,2.909059,-9.355827,-1.871435,0.274445,-8.317604
2.734179,1.451387,2.765102,-9.30435,-2.408952,4.58491,-10.800779
2.767469,1.423254,2.886164,-9.172065,0.577322,5.886804,-11.837954
2.800824,1.375069,2.934498,-9.393537,3.094616,6.670334,-12.487554
2.834196,1.340801,2.864166,-9.382313,1.558382,7.274742,-13.591321
2.867497,1.308777,2.675466,-9.033645,-0.739685,9.795927,-15.309371
2.899993,1.598037,2.915793,-8.962565,-4.363439,17.512714,-15.528299
2.934196,1.422057,3.018448,-9.485118,-3.738081,21.200365,-3.860189
2.967588,1.545812,3.03027,-9.42586,2.719611,24.055253,4.779596
3.000867,1.618538,3.133224,-9.625783,6.063233,20.488514,5.465559
3.034146,1.971845,3.23977,-10.030866,-2.648979,-6.560496,-16.911299
3.067522,-0.67878,-2.014044,-9.762855,2.681751,8.683032,-25.971431
3.100884,1.333768,1.095237,-11.238335,-2.849052,8.96062,-13.113062
3.134156,0.917461,6.497646,-11.875664,-3.380285,6.804714,-10.945484
3.167493,3.592478,16.075094,-13.932806,1.578434,4.024797,-10.791052
3.200842,11.316748,9.811041,-35.585991,0.266065,3.233335,-9.831691
3.234161,13.361319,0.664714,-21.081549,-0.442793,3.2061,-9.420622
3.267492,8.16826,-6.649384,-2.817627,-0.737141,3.119158,-9.449204
3.300822,3.787164,-3.219718,-4.382593,-0.832314,3.063191,-9.284447
3.33416,6.132518,0.262773,-9.533752,-0.793108,2.860275,-9.171766
3.367493,5.377569,4.780344,-12.751225,-0.730707,3.099255,-9.283998
3.400825,1.010988,7.509532,-12.724289,-0.785177,3.259972,-9.254668
3.434158,-1.522467,8.187714,-12.9504,-0.70811,2.909358,-9.186581
3.46759,0.170892,7.280279,-12.871837,-1.12337,3.212535,-9.182091
3.500831,3.275534,12.830386,-17.750646,-1.007097,3.02997,-9.213816
3.534147,5.709926,22.846288,-15.985458,-0.968489,3.016503,-9.42975
3.566905,4.149449,26.2987,-0.784428,-0.828573,3.244708,-9.499185
3.600473,1.802898,20.388552,4.932082,-0.670849,3.484137,-9.714072
3.633611,-2.785454,19.039671,8.800053,-0.911026,3.695133,-10.246053
3.667496,-4.912778,-13.104532,-16.181939,-1.709072,3.959253,-9.67277
3.700826,6.76416,6.302063,-23.137344,-1.335863,3.458398,-11.448883
3.734161,9.268286,1.993244,-14.197973,-1.224828,-0.133631,-13.232626
3.767494,-3.108234,5.122428,-12.789085,-3.557013,1.669417,-13.899136
3.800866,0.931078,4.206912,-11.331114,-0.743426,-0.74597,-12.807641
3.834244,1.125614,3.322822,-9.799219,-1.676899,2.104129,-10.236326
3.867493,1.167365,3.219568,-9.327843,-10.456899,19.55534,-27.229779
3.900823,1.309825,3.285561,-9.234317,-6.52952,0.307666,-6.841825
3.933304,1.274359,2.873743,-9.86985,-3.1015,-2.319765,-4.799049
3.967494,1.280345,2.662597,-9.267388,0.093078,1.600132,-7.022145
4.000744,1.224678,2.763905,-9.618001,-2.674269,4.752211,-9.096196
4.03416,1.19026,2.909957,-9.130015,-1.696652,6.172023,-9.676512
4.067514,1.158835,2.789494,-9.37947,1.093291,7.297039,-9.825257
4.099885,1.380007,2.855487,-9.488111,1.09404,7.400742,-11.395161
4.134168,1.344841,2.940334,-9.520284,-1.237996,9.988517,-14.758536
4.167499,1.357561,2.968617,-9.505919,-2.444118,14.075416,-17.793893
4.200827,1.223481,2.890503,-9.49709,-2.928064,22.546852,-12.143226
4.233813,1.318953,3.01351,-9.549165,0.408525,21.733693,0.363333
4.26758,1.295908,3.1012,-9.481976,10.206248,30.890794,10.445976
4.300829,1.73077,3.382679,-9.733525,8.722987,12.58168,-1.425199
4.334158,-0.101907,0.273547,-9.293725,-7.766619,-7.264118,1.398713
4.367494,2.345055,2.128072,-10.779829,-1.050344,9.327095,-18.730658
4.400854,0.874813,5.719653,-12.403754,-3.683311,11.513528,-16.619046
4.43416,6.08957,2.899332,-12.83308,3.285112,4.420004,-9.669778
4.467491,6.883426,17.820081,-19.197544,-0.283873,3.193231,-9.931054
4.500828,16.045166,15.085805,-33.814068,-0.476014,3.421736,-9.103678
4.534157,10.293938,-1.784941,-9.364506,-0.64541,3.377591,-9.140341
4.567493,10.524239,-2.73263,-5.37697,-0.635683,3.184552,-9.238806
4.600825,6.971416,-0.928385,-5.445656,-0.641819,3.167642,-9.177752
4.634209,4.013723,3.377142,-7.603059,-0.753303,3.492217,-9.080035
4.667526,3.047928,7.081104,-11.041405,-0.576874,3.361579,-9.133158
4.700829,0.458805,8.4867,-10.725359,-0.688956,3.787463,-9.106073
4.734179,1.091196,8.190258,-11.537471,-0.78368,3.522894,-9.022123
4.7675,3.009619,7.826176,-12.742546,-0.859699,3.708452,-9.005064
4.800824,1.448993,9.187927,-10.749451,-0.772457,3.674183,-9.217856
4.83417,6.134463,27.119193,-22.478765,-0.631344,3.786116,-9.361663
4.867539,3.464534,27.927564,-6.937148,-0.483347,3.978856,-9.584481
4.900734,-0.45701,24.863924,11.616782,-0.819295,4.163516,-9.451897
4.934315,-8.964211,16.209773,19.666076,-1.044358,4.209606,-9.951705
4.967527,4.113834,27.457086,-25.306119,0.138719,3.051818,-11.284874
5.000804,10.995764,13.955851,-13.67542,-0.573581,1.246376,-12.269076
5.034226,-2.947367,8.936527,-16.11056,1.113194,2.909209,-14.544097
5.067509,2.316174,5.870493,-11.742482,0.203215,0.392364,-12.604874
5.100829,1.412031,3.304116,-9.254967,-1.653405,-0.387276,-12.38026
5.134591,1.289174,3.352152,-8.246972,-5.639594,31.934104,-28.601705
5.16749,1.319552,3.079652,-9.135103,-11.945099,3.60415,-11.823589
5.200852,1.221984,2.868805,-9.418677,-5.008849,-1.832228,-4.487193
5.234276,1.293514,2.881974,-9.325599,-1.47952,2.635512,-7.053121
5.267497,1.488199,2.877634,-9.253621,-2.952755,4.093333,-7.297638
5.300368,1.339604,2.886912,-9.282053,-2.66978,5.862861,-7.477359
5.334148,1.434178,2.814185,-9.678158,0.218778,8.067551,-9.877183
5.367497,1.333768,2.728739,-9.36705,0.959361,8.843449,-11.456215
5.400815,1.399461,3.015605,-9.307642,-1.188913,10.246053,-13.614815
5.434116,1.414575,2.967569,-9.334577,-2.244794,15.037171,-16.81463
5.46747,1.343943,3.012013,-9.326497,-3.044935,20.697415,-13.536102
5.500915,1.336312,3.135469,-9.463121,-0.458656,20.692627,-0.204861
5.533625,1.14836,2.941531,-9.579393,5.577193,26.575091,7.500404
5.567581,1.501068,2.970263,-9.828549,5.392982,21.578812,9.347896
5.600904,-0.38129,-0.877955,-9.031101,-4.419854,-3.455555,-8.833423
5.634165,2.097545,0.665612,-10.493861,1.136837,17.387463,-22.906594
5.667515,4.550193,7.722175,-11.363586,-1.928898,4.444246,-11.815657
5.700822,5.150261,1.231711,-11.928039,2.739513,4.348025,-13.154064
5.734165,5.302897,16.491251,-18.280981,-0.531532,3.430864,-9.983728
5.767543,14.367369,21.003585,-34.843612,-0.861644,3.273439,-9.22444
5.800843,9.948712,-2.227585,-6.753536,-0.760934,3.233186,-9.274271
5.834157,7.230747,-2.243746,-2.03679,-0.868977,3.207896,-9.269932
5.867491,3.873358,-0.292103,-3.728504,-0.897409,3.277031,-9.184486
5.90083,4.262729,6.011157,-11.404289,-1.054683,3.399738,-9.167127
5.934183,5.809438,9.324252,-13.789897,-0.889627,3.511372,-9.159794
5.967512,1.037026,7.610242,-7.822136,-1.052738,3.341377,-9.072253
6.000826,-0.437406,7.487684,-10.275832,-1.029394,3.354995,-9.181193
6.034159,0.994377,6.496,-10.893408,-0.720381,3.535464,-9.185084
6.066798,2.480781,11.369123,-15.2766,-0.841442,3.480845,-9.253172
6.100825,5.382358,24.31234,-15.641279,-0.963701,3.674034,-9.436484
6.134159,4.18267,26.482312,-6.317327,-0.842191,3.647696,-9.602738
6.167458,-1.81053,24.210283,9.453394,-1.234554,3.97751,-9.598099
6.200345,-8.936377,24.855095,24.64754,-1.6344,3.918101,-10.118407
6.234252,0.448779,11.556775,-17.217618,-0.018256,4.044849,-10.718625
6.267487,12.31337,9.638951,-20.498839,-0.057463,-3.835498,-12.352576
6.300824,-2.810145,10.151628,-17.064533,2.36376,2.470306,-14.806571
6.334142,-1.854226,3.42847,-10.059597,-0.239279,0.990187,-12.793873
6.367481,0.588097,3.494163,-9.110412,-2.247487,2.372739,-12.211164
6.400822,1.184723,3.496258,-9.775425,-7.56894,23.861166,-29.25759
6.434171,1.355615,3.572576,-11.141366,-9.045916,3.005429,-9.741457
