time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_A_value,acc_B_value,acc_C_value
0.009857,1.687823,4.054576,-8.924256,-1.728077,3.631086,-8.933534
0.036453,1.765338,3.951472,-8.8014,-1.713861,3.673585,-8.903306
0.069802,1.729723,3.982148,-8.829832,-1.659989,3.604899,-8.930541
0.103107,1.737205,3.988284,-8.870235,-1.672709,3.63378,-9.028109
0.136446,1.732117,3.976462,-8.85153,-1.688421,3.67957,-8.982019
0.169856,1.715058,3.993222,-8.874276,-1.73915,3.514963,-8.869637
0.20315,1.720295,4.039162,-8.903905,-1.800055,3.585146,-8.924705
0.236469,1.723587,3.986039,-8.848387,-1.754564,3.605348,-8.939969
0.26979,1.7604,4.011927,-8.916176,-1.788682,3.56659,-8.859311
0.303176,1.699345,3.98574,-8.874126,-1.833575,3.540552,-8.858414
0.33647,1.723139,4.032578,-8.882955,-1.698597,3.704112,-8.974686
0.369779,1.715058,3.941446,-8.869188,-1.742442,3.572127,-8.877568
0.403192,1.699794,4.113834,-8.907496,-1.810979,3.76786,-8.928596
0.436502,1.709671,3.986338,-8.902409,-1.755012,3.524091,-8.840157
0.469801,1.689918,3.958804,-8.869786,-1.871135,3.630787,-8.837613
0.503138,1.698597,3.973768,-8.815765,-1.657595,3.52888,-8.791673
0.536475,1.715806,4.030633,-8.897919,-1.667621,3.680019,-8.874276
0.569805,1.687224,3.948329,-8.880112,-1.700094,3.63797,-8.800651
0.603135,1.686925,4.059963,-8.94805,-1.594745,3.492966,-9.03185
0.636474,1.646521,3.986338,-8.873527,-1.448394,3.995018,-9.240602
0.669804,1.721343,3.867522,-8.876221,-1.825494,3.479797,-8.894926
0.703249,1.611804,3.89775,-8.92276,-1.645474,3.786116,-8.931739
0.736525,1.51289,3.469921,-8.73017,-1.440014,3.742121,-8.971244
0.769812,1.507802,3.82218,-8.96047,-1.670764,3.116314,-8.573344
0.803196,1.530847,4.1912,-9.131362,-1.625871,4.23729,-9.170269
0.836473,1.737654,3.951472,-8.986658,-1.96571,3.748406,-9.244792
0.869802,1.653106,3.974068,-9.028258,-1.60537,3.343173,-8.864699
0.90311,1.639189,4.047842,-8.979924,-1.888195,3.291995,-8.735257
0.936474,1.390931,3.079053,-8.428639,-1.68917,3.548334,-9.198402
0.9698,1.655949,4.051882,-9.213067,-1.89837,3.63378,-9.072403
1.003108,1.660139,3.731048,-9.019429,-1.70593,3.678373,-8.971693
1.036444,1.856171,3.725062,-9.118792,-1.891636,4.105454,-9.260654
1.069862,1.627816,3.46199,-9.030353,-1.964962,4.184166,-9.328442
1.103112,1.615545,3.301722,-8.920366,-1.507204,3.640963,-8.909142
1.136438,1.8231,3.13921,-9.011498,-1.200885,3.831907,-9.317368
1.169756,2.147077,4.483901,-9.634013,-1.708025,4.297745,-9.842615
1.203113,1.831031,4.169202,-9.281304,-2.516097,3.113621,-9.489607
1.236511,1.61794,4.355059,-9.880924,-5.781904,1.291718,-13.177558
