time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
0.019175,1.05184,2.86252,-9.419575,-1.05618,3.241715,-9.162787
0.052547,1.025204,2.844563,-9.360915,-0.878105,3.248599,-9.162937
0.085871,1.000662,2.868955,-9.415983,-0.822587,3.322373,-9.229977
0.118838,0.911026,2.90876,-9.545724,-0.888729,3.251143,-9.176405
0.151998,0.913121,2.892149,-9.503375,-0.806575,3.205502,-9.198552
0.185867,0.960259,2.817777,-9.440674,-0.792359,3.246504,-9.270979
0.219254,1.012035,2.819123,-9.441871,-0.986746,3.279276,-9.10727
0.252604,1.041216,2.872546,-9.538092,-0.861345,3.267304,-9.179847
0.285894,0.93033,2.849052,-9.327245,-0.813459,3.294988,-9.213067
0.319249,0.859848,2.955448,-9.510109,-0.870323,3.21463,-9.192566
0.352573,0.995425,2.896489,-9.50966,-0.913271,3.204454,-9.085572
0.385913,0.873017,2.828252,-9.364955,-0.761383,3.395398,-9.251526
0.41923,0.986895,2.910406,-9.438729,-0.967891,3.093868,-9.062078
0.45261,0.961755,2.864316,-9.407154,-0.698084,3.320727,-9.281454
0.485917,1.025952,2.920432,-9.401168,-0.700928,3.263563,-9.355677
0.519193,0.9848,2.888857,-9.466263,-0.950233,3.031616,-9.14917
0.552568,0.940955,2.82885,-9.431995,-0.897858,3.16435,-9.129866
0.585826,0.900701,2.867907,-9.437083,-0.679678,3.577364,-9.339366
0.619219,1.002757,2.840672,-9.424662,-0.73759,3.368014,-9.193165
0.652551,1.02281,2.920432,-9.427356,-0.689555,3.166744,-9.384857
0.685888,0.922848,2.849202,-9.450551,-0.908333,3.067082,-9.052051
0.719265,0.927188,2.838427,-9.384408,-0.950831,3.305313,-9.174459
0.752547,0.965347,2.786052,-9.374233,-0.794305,3.245606,-9.284896
0.785916,1.010838,2.876287,-9.407304,-0.906836,3.052866,-9.129267
0.818841,0.923746,2.802214,-9.370641,-0.924045,3.181559,-9.108766
0.852555,0.751208,2.969814,-9.65197,-0.543653,3.284513,-9.320361
0.885874,1.016824,2.861173,-9.424662,-1.078028,3.544293,-9.15336
0.919225,1.074137,2.865064,-9.371838,-0.859699,3.396296,-9.181493
0.952551,1.067702,2.913249,-9.361363,-0.697785,3.300824,-9.330836
0.985878,1.003805,2.867907,-9.467161,-0.918508,3.23124,-9.220549
1.019074,0.966993,2.986424,-9.527467,-0.984651,3.276133,-9.113255
1.052583,0.786523,2.698811,-9.356575,-0.924644,3.293791,-9.17416
1.085915,1.15689,2.834686,-9.353133,-0.819295,3.221364,-9.209027
1.119249,1.083864,2.903971,-9.443517,-1.184125,2.475543,-8.845844
1.152578,1.084612,2.842917,-9.324551,-1.038821,3.316836,-9.056391
