time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
2.757165,1.468895,6.329597,-2.547821,0.357048,4.050685,-9.315872
2.790473,0.7964,5.707681,10.448071,-0.065843,4.001303,-9.872693
2.823805,9.039781,17.794043,-31.065427,-0.304972,3.92693,-10.631383
2.857145,-6.32451,3.038201,-10.278375,-0.669802,2.010752,-12.217898
2.890473,1.167514,4.108896,-11.067143,0.756445,6.132817,-13.895844
2.923849,1.22812,3.14744,-9.402066,2.810444,2.307345,-12.936333
2.957169,1.325537,3.226751,-9.323653,-2.253024,3.573025,-9.73562
2.990476,1.183975,3.111825,-9.297466,-6.436891,4.654494,-18.032873
3.023225,1.074736,3.064538,-9.333081,-9.065669,1.174248,-12.029796
3.057223,1.163624,3.121253,-9.417031,-2.400273,-2.115353,-7.088886
3.090548,1.158685,2.881225,-9.135103,0.25155,0.098016,-7.473019
3.123886,1.224229,2.978044,-9.255416,-1.091496,2.66544,-9.534051
3.157137,1.248172,3.082046,-9.325898,-1.212856,3.882786,-10.406919
3.190476,1.308029,3.1223,-9.292378,0.619223,5.910298,-11.546899
3.223785,1.208666,3.060348,-9.321708,1.223032,7.006881,-12.461217
3.257136,1.280345,3.08863,-9.332183,1.558232,10.021439,-11.245368
3.290479,1.242635,2.940484,-9.336523,4.896617,20.623043,-5.292721
3.323804,1.268374,3.054811,-9.332931,9.269483,22.821447,-8.143868
3.357202,1.214951,3.032814,-9.360316,1.063812,22.207462,1.311022
3.390562,1.302043,3.075611,-9.40491,6.643249,12.892338,6.53371
3.423811,1.329278,2.792188,-9.305547,4.146905,18.429576,-19.202482
3.457158,1.351276,2.615609,-9.377076,2.27577,1.467249,-9.229528
3.490454,1.113643,3.107785,-9.293575,0.4609,4.170699,-9.803109
3.523808,0.644811,1.159733,-9.994203,-0.247659,3.724763,-9.453843
3.557156,0.197379,2.356427,-10.134868,-0.437706,3.337038,-9.184934
3.590481,1.956881,4.477167,-11.770465,-0.488285,3.372802,-9.056541
3.623835,-0.581363,0.11732,-13.588328,-0.366625,3.278827,-9.240452
3.657014,2.029308,1.769827,-18.903196,-0.462546,3.172879,-9.057588
3.690107,3.690045,-2.718264,-9.076892,-0.468233,3.08474,-8.892382
3.723294,6.059791,-2.32605,-8.777307,-0.329813,3.360232,-9.254668
3.756412,7.486786,-0.986746,-9.20783,0.1468,3.445379,-9.345202
3.789542,4.484799,1.884154,-8.957328,0.012121,3.413505,-9.224889
3.823898,2.042028,3.362926,-9.727989,0.008081,3.351254,-9.218305
3.857125,1.327034,4.395612,-10.849114,-0.135427,3.060049,-9.323803
3.890472,0.969088,4.600473,-9.67292,0.016161,3.247551,-9.284896
3.923839,1.62617,4.204518,-8.396166,-0.224764,3.16854,-9.137797
3.957119,2.802513,3.860189,-7.494717,-0.056266,3.132925,-9.302404
3.990473,4.310465,7.046237,-12.04521,-0.208153,3.278976,-9.143633
4.023829,2.918636,6.622449,-8.63365,-0.169845,3.328508,-9.226834
4.057167,0.926589,6.804414,-6.162297,-0.110436,3.256081,-9.260654
4.090493,0.651845,8.817262,-6.841975,-0.249156,3.153426,-9.28729
4.123824,1.305186,12.838317,-7.457456,-0.143508,3.275385,-9.411943
4.157123,0.640472,13.469811,-6.484179,-0.048634,3.199067,-9.600493
4.190553,-7.894414,14.946338,17.862579,0.177028,3.642908,-9.813136
